"odontologia" -- "materiais dentários"
"trp channels" -- "ion channels"
"economics of organizations" -- "corporate finance"
"hydropower" -- "water resources"
"child care" -- "child development"
"hand" -- "biomechanics"
"molecular pathology" -- "pathology"
"plant disease" -- "plant pathology"
"dislocation dynamics" -- "crystal plasticity"
"chemistry education" -- "science education"
"chemistry education" -- "chemistry education research"
"sepsis" -- "ards"
"thoracic surgery" -- "surgery"
"causal inference" -- "biostatistics"
"causal inference" -- "program evaluation"
"dna methylation" -- "epigenetics"
"organizational citizenship behavior" -- "impression management"
"organizational citizenship behavior" -- "leadership"
"additive manufacturing" -- "selective laser melting"
"additive manufacturing" -- "micro manufacturing"
"additive manufacturing" -- "inkjet printing"
"additive manufacturing" -- "cad"
"additive manufacturing" -- "laser material processing"
"additive manufacturing" -- "3d printing"
"prospective memory" -- "memory"
"synthesis of nanomaterials" -- "photocatalysis"
"complementary medicine" -- "integrative medicine"
"adaptive systems" -- "software engineering"
"plant biology" -- "root biology"
"plant biology" -- "carbon dioxide"
"plant biology" -- "plant biochemistry"
"plant biology" -- "legumes"
"plant biology" -- "arabidopsis"
"plant biology" -- "genetics"
"plant biology" -- "secondary metabolism"
"plant biology" -- "stress tolerance"
"plant biology" -- "plant stress physiology"
"plant biology" -- "plant anatomy"
"plant biology" -- "water stress"
"uas" -- "uav"
"pollution" -- "environmental science"
"interpersonal violence" -- "bullying"
"stormwater management" -- "green infrastructure"
"stormwater management" -- "low impact development"
"access to justice" -- "legal ethics"
"cardiology" -- "cardiothoracic surgery"
"cardiology" -- "cardiac surgery"
"cardiology" -- "arrhythmia"
"cardiology" -- "internal medicine"
"cardiology" -- "cardiovascular imaging"
"cardiology" -- "cardiomyopathy"
"cardiology" -- "cardiac mri"
"cardiology" -- "heart failure"
"cardiology" -- "interventional cardiology"
"cardiology" -- "echocardiography"
"cardiology" -- "cardiac imaging"
"aneurysms" -- "neurosurgery"
"agn" -- "astrophysics"
"audio engineering" -- "psychoacoustics"
"green chemistry" -- "catalysis"
"green chemistry" -- "renewable materials"
"tb" -- "hiv"
"cytopathology" -- "pathology"
"jurisprudence" -- "law"
"rna processing" -- "gene regulation"
"mixing" -- "turbulence"
"larval ecology" -- "marine biology"
"manufacturing automation" -- "robotics"
"water purification" -- "membranes"
"intervention research" -- "evidence-based practice"
"protein structure" -- "bioinformatics"
"protein structure" -- "protein-dna interactions"
"protein structure" -- "function"
"neural plasticity" -- "neuroscience"
"indexing" -- "query processing"
"polymorphism" -- "crystallography"
"otology" -- "audiology"
"otology" -- "neurotology"
"conservação" -- "ecologia"
"light harvesting" -- "photosynthesis"
"documentary" -- "television"
"molecular physics" -- "atomic"
"sustentabilidade" -- "meio ambiente"
"sustentabilidade" -- "engenharia de produção"
"protein trafficking" -- "autophagy"
"protein trafficking" -- "primary cilia"
"seismic analysis" -- "concrete structures"
"signal processing" -- "blind source separation"
"signal processing" -- "radar systems"
"signal processing" -- "source separation"
"signal processing" -- "radar"
"signal processing" -- "random matrix theory"
"signal processing" -- "wireless communications"
"signal processing" -- "acoustic signal processing"
"signal processing" -- "sensor technology"
"signal processing" -- "underwater communications"
"signal processing" -- "speech communication"
"signal processing" -- "sonar"
"signal processing" -- "weather radar"
"signal processing" -- "nonlinear filtering"
"signal processing" -- "time-frequency analysis"
"signal processing" -- "ecg"
"signal processing" -- "digital communications"
"signal processing" -- "speech enhancement"
"signal processing" -- "communication systems"
"signal processing" -- "biomedical"
"signal processing" -- "adaptive filtering"
"signal processing" -- "array processing"
"signal processing" -- "machine learning"
"signal processing" -- "microphone arrays"
"signal processing" -- "compressed sensing"
"signal processing" -- "communication"
"signal processing" -- "underwater acoustics"
"signal processing" -- "distributed estimation"
"signal processing" -- "fault diagnosis"
"otimização" -- "simulação"
"casimir effect" -- "quantum field theory"
"ob" -- "hrm"
"non-photorealistic rendering" -- "computer graphics"
"oceanography" -- "plankton ecology"
"oceanography" -- "marine microbial ecology"
"oceanography" -- "bio-optics"
"oceanography" -- "marine science"
"oceanography" -- "phytoplankton"
"oceanography" -- "southern ocean"
"oceanography" -- "biogeochemistry"
"face" -- "computer vision"
"face" -- "attractiveness"
"huntington s disease" -- "neurodegeneration"
"active learning" -- "machine learning"
"pollen" -- "neogene"
"longitudinal modeling" -- "biostatistics"
"biodiversity conservation" -- "ecology"
"relações internacionais" -- "meio ambiente"
"reservoir characterization" -- "microseismic"
"reservoir characterization" -- "petrophysics"
"spray drying" -- "heat"
"criminal procedure" -- "criminal law"
"biotelemetry" -- "fisheries"
"clinical oncology" -- "tumorigenesis"
"theoretical spectroscopy" -- "surface science"
"superalloys" -- "materials science"
"inventory" -- "supply chain"
"sandwich structures" -- "composites"
"nanocatalysis" -- "nanotechnology"
"array signal processing" -- "reconstruction"
"array signal processing" -- "radar signal processing"
"celestial mechanics" -- "dynamical systems"
"celestial mechanics" -- "astrodynamics"
"critical realism" -- "social ontology"
"rna splicing" -- "cancer biology"
"climate" -- "atmosphere"
"climate" -- "glaciers"
"climate" -- "precipitation"
"climate" -- "land-atmosphere interactions"
"climate" -- "stratosphere"
"climate" -- "meteorology"
"climate" -- "ocean circulation"
"climate" -- "hydrology"
"climate" -- "physical oceanography"
"climate" -- "atmospheric dynamics"
"climate" -- "ocean"
"aboriginal health" -- "nutrition"
"aquatic ecotoxicology" -- "chemosensation"
"biologia da conservação" -- "ecologia marinha"
"biologia da conservação" -- "taxonomia"
"spin caloritronics" -- "spintronics"
"human geography" -- "cultural geography"
"human geography" -- "rural studies"
"human geography" -- "development studies"
"human geography" -- "urban studies"
"molecular engineering" -- "nanoscale materials"
"data journalism" -- "online journalism"
"infrared" -- "spectroscopy"
"ventilation" -- "indoor air quality"
"care" -- "early childhood education"
"tdcs" -- "tms"
"solitons" -- "nonlinear optics"
"medical mycology" -- "microbiology"
"legislatures" -- "comparative politics"
"social network sites" -- "social media"
"process modeling" -- "simulation"
"immunodeficiency" -- "immunology"
"food quality" -- "safety"
"data visualisation" -- "bioinformatics"
"breast" -- "cancer"
"user modeling" -- "recommender systems"
"software defined networking" -- "openflow"
"software defined networking" -- "network function virtualization"
"biliteracy" -- "bilingualism"
"fluids" -- "heat transfer"
"convex" -- "optimization"
"imagination" -- "memory"
"homeland security" -- "terrorism"
"acústica" -- "música"
"environmental engineering" -- "environmental nanotechnology"
"environmental engineering" -- "remediation"
"environmental engineering" -- "civil"
"environmental engineering" -- "chemical"
"environmental engineering" -- "environmental biotechnology"
"environmental engineering" -- "chemical engineering"
"environmental engineering" -- "environmental organic chemistry"
"environmental engineering" -- "aquatic chemistry"
"genome biology" -- "bioinformatics"
"nanotecnologie" -- "fotosintesi"
"synchrotron" -- "x-ray"
"yoga" -- "mindfulness"
"physical simulation" -- "computer graphics"
"behavioral economics" -- "social economics"
"behavioral economics" -- "experimental"
"behavioral economics" -- "experimental economics"
"behavioral economics" -- "bounded rationality"
"behavioral economics" -- "field experiments"
"nuclear structure" -- "nuclear astrophysics"
"british history" -- "irish history"
"fisiologia" -- "farmacologia"
"fisiologia" -- "nutrição"
"fisiologia" -- "bioquímica"
"applied microbiology" -- "biotechnology"
"bone" -- "arthritis"
"bone" -- "osteoblast"
"bone" -- "osteoporosis"
"bone" -- "biomechanics"
"geophysics" -- "planetary science"
"geophysics" -- "seismology"
"geophysics" -- "earthquake seismology"
"geophysics" -- "earthquakes"
"geophysics" -- "seismic imaging"
"geophysics" -- "rock physics"
"geophysics" -- "space geodesy"
"geophysics" -- "inversion"
"geophysics" -- "exploration seismology"
"geophysics" -- "geothermal"
"geophysics" -- "volcanoes"
"geophysics" -- "geology"
"geophysics" -- "seismic"
"geophysics" -- "geodynamics"
"geophysics" -- "geodesy"
"geophysics" -- "mineral physics"
"geophysics" -- "radar remote sensing"
"geophysics" -- "magnetotellurics"
"geophysics" -- "petrophysics"
"multiscale analysis" -- "computational mechanics"
"forest inventory" -- "remote sensing"
"vitamin d" -- "nutrition"
"production engineering" -- "reservoir engineering"
"surrogacy" -- "assisted reproduction"
"surrogacy" -- "gender"
"dental anthropology" -- "bioarchaeology"
"heat transport" -- "charge"
"heat transport" -- "nanoscale devices"
"soil fertility" -- "plant nutrition"
"artificial immune systems" -- "evolutionary computation"
"millimeter wave" -- "microwave"
"motor control" -- "postural control"
"motor control" -- "coordination"
"motor control" -- "transcranial magnetic stimulation"
"motor control" -- "sensorimotor integration"
"motor control" -- "motor learning"
"motor control" -- "stroke rehabilitation"
"motor control" -- "neuroscience"
"nanoporous materials" -- "molecular simulation"
"shape memory alloys" -- "smart materials"
"ensemble learning" -- "machine learning"
"comunicación audiovisual" -- "periodismo"
"intergroup conflict" -- "terrorism"
"mining" -- "rock mechanics"
"photochemistry" -- "physical chemistry"
"photochemistry" -- "photophysics"
"urban renewal" -- "space syntax"
"emerging markets" -- "international business"
"steganography" -- "information hiding"
"steganography" -- "image processing"
"steganography" -- "steganalysis"
"spectral graph theory" -- "complex networks"
"structure-property relationships" -- "materials science"
"bioimpedance" -- "biomedical engineering"
"altruism" -- "prosocial behavior"
"computational materials" -- "theoretical"
"computational intelligence" -- "machine learning"
"computational intelligence" -- "circuit theory"
"computational intelligence" -- "evolutionary optimization"
"computational intelligence" -- "fuzzy"
"metrology" -- "precision engineering"
"metrology" -- "inspection"
"clostridium difficile" -- "infectious diseases"
"asset pricing" -- "options"
"asset pricing" -- "financial econometrics"
"asset pricing" -- "liquidity"
"asset pricing" -- "corporate finance"
"asset pricing" -- "macro-finance"
"asset pricing" -- "portfolio theory"
"asset pricing" -- "fixed income"
"asset pricing" -- "behavioural finance"
"asset pricing" -- "derivative pricing"
"asset pricing" -- "behavioral finance"
"asset pricing" -- "portfolio choice"
"asset pricing" -- "derivatives"
"asset pricing" -- "market microstructure"
"machine translation" -- "natural language processing"
"chimica analitica" -- "chimica"
"chimica analitica" -- "tossicologia forense"
"user interface design" -- "human-computer interaction"
"theoretical" -- "observational cosmology"
"theoretical" -- "computational chemistry"
"theoretical" -- "philosophical psychology"
"knowledge" -- "innovation"
"spoken dialogue systems" -- "machine learning"
"moocs" -- "open educational resources"
"moocs" -- "learning analytics"
"moocs" -- "digital education"
"plasticity" -- "dislocations"
"plasticity" -- "reconstructive surgery"
"plasticity" -- "neuroscience"
"patents" -- "intellectual property"
"work-family" -- "gender"
"law economics" -- "industrial organization"
"computational thinking" -- "computer science education"
"preterm birth" -- "preeclampsia"
"web 2.0" -- "social media"
"web 2.0" -- "wikis"
"mathematical physics" -- "noncommutative geometry"
"mathematical physics" -- "spectral theory"
"mathematical physics" -- "gauge theory"
"mathematical physics" -- "conformal field theory"
"mathematical physics" -- "quantum field theory"
"mathematical physics" -- "integrable systems"
"mathematical physics" -- "differential geometry"
"mathematical physics" -- "mathematics"
"scholarly communication" -- "science librarianship"
"scholarly communication" -- "collection management"
"scholarly communication" -- "library history"
"scholarly communication" -- "collection development"
"scholarly communication" -- "publishing"
"scholarly communication" -- "open access"
"scholarly communication" -- "electronic resources"
"scholarly communication" -- "institutional repositories"
"technology development" -- "genomics"
"information systems" -- "e-business"
"information systems" -- "business process management"
"information systems" -- "information technology"
"information systems" -- "case study"
"information systems" -- "process management"
"information systems" -- "electronic commerce"
"information systems" -- "innovation diffusion"
"information systems" -- "e-government"
"information systems" -- "service engineering"
"information systems" -- "decision support"
"information systems" -- "developing countries"
"information systems" -- "business informatics"
"information systems" -- "social software"
"information systems" -- "health information systems"
"information systems" -- "software engineering"
"information systems" -- "adoption"
"information systems" -- "economics of information systems"
"information systems" -- "digital innovation"
"information systems" -- "e-commerce"
"information systems" -- "enterprise systems"
"information systems" -- "technology adoption"
"information systems" -- "service science"
"information systems" -- "information quality"
"graph theory" -- "algorithms"
"graph theory" -- "algebraic graph theory"
"graph theory" -- "combinatorics"
"graph theory" -- "linear algebra"
"graph theory" -- "probabilistic combinatorics"
"graph theory" -- "combinatorial geometry"
"plant pathology" -- "fungal biology"
"plant pathology" -- "plant protection"
"plant pathology" -- "fungal genetics"
"plant pathology" -- "plant-microbe interactions"
"plant pathology" -- "mycology"
"plant pathology" -- "plant virology"
"plant pathology" -- "phytopathology"
"visual system" -- "neuroscience"
"dendritic cells" -- "immunology"
"gpgpu" -- "high performance computing"
"stm" -- "surface science"
"phylogenetics" -- "molecular systematics"
"phylogenetics" -- "plant evolution"
"phylogenetics" -- "phylogeography"
"phylogenetics" -- "evolution"
"phylogenetics" -- "diversification"
"phylogenetics" -- "comparative methods"
"transplant immunology" -- "tumor"
"welfare" -- "poverty"
"genomics" -- "personalized medicine"
"genomics" -- "nematodes"
"genomics" -- "gene regulation"
"genomics" -- "evolutionary genetics"
"genomics" -- "epigenomics"
"genomics" -- "gene expression"
"genomics" -- "polyploidy"
"genomics" -- "human genetics"
"genomics" -- "sequencing"
"genomics" -- "sex chromosomes"
"genomics" -- "transposons"
"genomics" -- "forest genetics"
"genomics" -- "genetics"
"genomics" -- "human disease"
"genomics" -- "disease"
"genomics" -- "quantitative genetics"
"genomics" -- "medical genetics"
"genomics" -- "small rna"
"genomics" -- "transposable elements"
"genomics" -- "chromosomes"
"genomics" -- "high-throughput sequencing"
"genomics" -- "molecular plant pathology"
"genomics" -- "molecular breeding"
"genomics" -- "bioinformatics"
"genomics" -- "evolution"
"genomics" -- "rna biology"
"genomics" -- "animal genetics"
"genomics" -- "plant molecular genetics"
"genomics" -- "plant developmental biology"
"genomics" -- "clinical genetics"
"genomics" -- "alternative splicing"
"aggression" -- "violence"
"aggression" -- "bullying"
"aggression" -- "violence prevention"
"aggression" -- "anger"
"skull base surgery" -- "neurosurgery"
"skull base surgery" -- "rhinology"
"skull base surgery" -- "cerebrovascular surgery"
"function spaces" -- "functional analysis"
"sexual dimorphism" -- "evolution"
"imperialism" -- "colonial history"
"state crime" -- "corporate crime"
"state crime" -- "crimes of the powerful"
"molecular neuroscience" -- "cellular"
"3d modeling" -- "photogrammetry"
"türk dili" -- "türkçe eğitimi"
"fluid simulation" -- "computer graphics"
"earth sciences" -- "geology"
"next generation sequencing" -- "bioinformatics"
"piv" -- "fluid mechanics"
"perceptual learning" -- "vision"
"perceptual learning" -- "amblyopia"
"ebooks" -- "collection development"
"laparoscopy" -- "surgery"
"comparative genomics" -- "bioinformatics"
"comparative genomics" -- "sex chromosome evolution"
"signal processing for communications" -- "wireless communications"
"3d" -- "computer vision"
"global development" -- "data analysis"
"polymeric materials" -- "biomaterials"
"tangible interaction" -- "hci"
"consumer finance" -- "corporate finance"
"environmental science" -- "ecology"
"environmental science" -- "soil science"
"offshore wind" -- "renewable energy"
"mechanics" -- "materials"
"mechanics" -- "engineering mechanics"
"mechanics" -- "origami"
"microbial evolution" -- "microbial ecology"
"software testing" -- "mutation testing"
"software testing" -- "software analysis"
"software testing" -- "software engineering"
"digital forensics" -- "information security"
"discapacidad" -- "educación inclusiva"
"discapacidad" -- "trabajo social"
"palaeoanthropology" -- "palaeontology"
"electromagnetics" -- "antenna design"
"electromagnetics" -- "ground penetrating radar"
"electromagnetics" -- "antenna arrays"
"electromagnetics" -- "scattering"
"electromagnetics" -- "emc"
"electromagnetics" -- "antennas"
"gravitational waves" -- "numerical relativity"
"gravitational waves" -- "astrophysics"
"gravitational waves" -- "relativistic astrophysics"
"society" -- "mobile phones"
"society" -- "digital divide"
"society" -- "law"
"classical archaeology" -- "archaeology"
"himalaya" -- "tectonics"
"graph drawing" -- "computational geometry"
"didactics" -- "science education"
"flood risk" -- "ecohydrology"
"bioreactors" -- "tissue engineering"
"hematology" -- "clinical pathology"
"hematology" -- "oncology"
"hematology" -- "hematopathology"
"hematology" -- "sickle cell disease"
"hematology" -- "hematopoietic stem cells"
"hematology" -- "transfusion medicine"
"hematology" -- "estrogen receptor"
"hematology" -- "thrombosis"
"electrochemical" -- "corrosion"
"photovoltaics" -- "thin film solar cells"
"photovoltaics" -- "silicon solar cells"
"photovoltaics" -- "czts"
"photovoltaics" -- "perovskite"
"photovoltaics" -- "semiconductor device physics"
"photovoltaics" -- "silicon"
"photovoltaics" -- "organic semiconductors"
"photovoltaics" -- "cdte"
"photovoltaics" -- "energy saving"
"photovoltaics" -- "solar cells"
"photovoltaics" -- "printing"
"photovoltaics" -- "transparent conductors"
"photovoltaics" -- "hybrid perovskites"
"photovoltaics" -- "light trapping"
"photovoltaics" -- "solar energy"
"photovoltaics" -- "upconversion"
"photovoltaics" -- "device physics"
"computational semantics" -- "natural language processing"
"smooth muscle" -- "physiology"
"architectural design" -- "architecture"
"air pollution control" -- "aerosols"
"human factors engineering" -- "ergonomics"
"desarrollo" -- "género"
"stars" -- "planet formation"
"storia dell architettura" -- "restauro"
"storia dell architettura" -- "storia dell&"
"storia dell architettura" -- "storia moderna"
"dendrochronology" -- "wood anatomy"
"critical illness" -- "microcirculation"
"valuation" -- "financial accounting"
"securitization" -- "financial intermediation"
"language recognition" -- "machine learning"
"pump" -- "cavitation"
"rheumatology" -- "immunology"
"rheumatology" -- "clinical immunology"
"rheumatology" -- "rheumatoid arthritis"
"rheumatology" -- "lupus"
"mycorrhizal symbiosis" -- "plant-microbe interactions"
"wind engineering" -- "structural dynamics"
"gerontology" -- "geriatrics"
"gerontology" -- "healthy aging"
"gerontology" -- "geriatric medicine"
"gerontology" -- "geropsychology"
"gerontology" -- "elder abuse"
"gpu programming" -- "computer graphics"
"delirium" -- "mechanical ventilation"
"delirium" -- "dementia"
"carbohydrates" -- "organic chemistry"
"carbohydrates" -- "polysaccharides"
"soft tissue biomechanics" -- "constitutive modeling"
"cognitive training" -- "working memory"
"environmental flows" -- "computational fluid dynamics"
"stent" -- "finite element analysis"
"insurgency" -- "terrorism"
"polymer rheology" -- "polymer nanocomposites"
"ppp" -- "gnss"
"dermatology" -- "immunology"
"dermatology" -- "psoriasis"
"dermatology" -- "obstetrics gynecology"
"dermatology" -- "dermatopathology"
"observers" -- "control"
"islet biology" -- "diabetes"
"embedded librarianship" -- "information literacy"
"pancreatitis" -- "pancreatic cancer"
"pancreatitis" -- "gastroenterology"
"systems science" -- "systems engineering"
"quantum cryptography" -- "quantum information"
"quantum cryptography" -- "quantum key distribution"
"feeding" -- "obesity"
"lgbtq" -- "intersectionality"
"bullying" -- "cyberbullying"
"bullying" -- "school climate"
"bullying" -- "peer relations"
"financial analysts" -- "earnings management"
"cerebrovascular disease" -- "stroke"
"traffic analysis" -- "network security"
"plant biotechnology" -- "molecular biology"
"plant biotechnology" -- "plant tissue culture"
"plant biotechnology" -- "plant cell biology"
"microcontrollers" -- "machine learning"
"service composition" -- "cloud computing"
"aquatic ecosystems" -- "fisheries"
"soft sensor" -- "machine learning"
"canadian literature" -- "food history"
"canadian literature" -- "australian literature"
"canadian literature" -- "digital humanities"
"islamic law" -- "islamic thought"
"collagen" -- "biomechanics"
"sexual conflict" -- "sexual selection"
"water quality" -- "hydrology"
"water quality" -- "estuaries"
"water quality" -- "low impact development"
"water quality" -- "nutrient management"
"public budgeting" -- "financial management"
"public budgeting" -- "finance"
"building materials" -- "construction"
"land change science" -- "remote sensing"
"comparative" -- "international politics"
"comparative" -- "historical"
"derivatives" -- "credit risk"
"musicología" -- "música"
"liver fibrosis" -- "hepatology"
"editing" -- "writing"
"morocco" -- "middle east"
"web engineering" -- "software engineering"
"yeast genetics" -- "experimental evolution"
"single cell" -- "microfluidics"
"corporate responsibility" -- "sustainability"
"history of biology" -- "philosophy of science"
"historic preservation" -- "architecture"
"smart antennas" -- "mimo"
"digital human modeling" -- "ergonomics"
"applied psychology" -- "health psychology"
"environmental justice" -- "climate change"
"environmental justice" -- "urban environment"
"environmental justice" -- "community organizing"
"environmental justice" -- "environmental humanities"
"interacting particle systems" -- "probability"
"mesosphere" -- "gravity waves"
"mesosphere" -- "stratosphere"
"language" -- "music"
"language" -- "thought"
"language" -- "cognition"
"language" -- "qualitative inquiry"
"language" -- "aphasia"
"language" -- "deaf studies"
"language" -- "laterality"
"language" -- "conceptual development"
"language" -- "concepts"
"language" -- "social interaction"
"language" -- "metaphor"
"language" -- "developmental disorders"
"polymer processing" -- "rheology"
"viscoelasticity" -- "rheology"
"co2 reduction" -- "catalysis"
"spain" -- "port cities"
"global justice" -- "political philosophy"
"cae" -- "cad"
"framing" -- "prensa"
"framing" -- "political communication"
"solid state electrochemistry" -- "solid oxide fuel cells"
"sleep disorders" -- "sleep"
"information privacy" -- "information security"
"sirna" -- "cancer"
"underwater acoustic communications" -- "wireless communications"
"empirical corporate finance" -- "empirical asset pricing"
"prostate" -- "cancer"
"spatio-temporal data mining" -- "machine learning"
"plagiarism" -- "academic integrity"
"proteomica" -- "biochimica"
"international humanitarian law" -- "international law"
"stochastic partial differential equations" -- "partial differential equations"
"nanotoxicology" -- "nanomedicine"
"mental health services" -- "mental health"
"torpor" -- "physiology"
"torpor" -- "hibernation"
"statistics" -- "research methods"
"statistics" -- "robustness"
"statistics" -- "applied probability"
"statistics" -- "statistical quality control"
"statistics" -- "mathematical statistics"
"statistics" -- "exploratory data analysis"
"statistics" -- "actuarial science"
"statistics" -- "methodology"
"statistics" -- "multivariate data analysis"
"statistics" -- "bayesian"
"statistics" -- "financial mathematics"
"statistics" -- "econometrics"
"statistics" -- "machine learning"
"statistics" -- "design of experiments"
"statistics" -- "experimental design"
"statistics" -- "nonparametric methods"
"statistics" -- "consulting"
"statistics" -- "research methodology"
"statistics" -- "quality control"
"statistics" -- "forensic science"
"statistics" -- "copulas"
"statistics" -- "computer experiments"
"statistics" -- "model selection"
"statistics" -- "psychometrics"
"statistics" -- "probability"
"statistics" -- "astrostatistics"
"statistics" -- "biometry"
"statistics" -- "survey methods"
"statistics" -- "extreme value theory"
"neuroanatomy" -- "neuroscience"
"static analysis" -- "abstract interpretation"
"static analysis" -- "programming languages"
"integrated pest management" -- "entomology"
"cultural identity" -- "multiculturalism"
"foreign direct investment" -- "international trade"
"infancy" -- "developmental psychology"
"animal studies" -- "posthumanism"
"hysteresis" -- "applications"
"philosophy of mind" -- "philosophy of language"
"philosophy of mind" -- "cognitive science"
"philosophy of mind" -- "philosophy of cognitive science"
"philosophy of mind" -- "free will"
"philosophy of mind" -- "philosophy of psychiatry"
"philosophy of mind" -- "philosophy of action"
"philosophy of mind" -- "kant"
"philosophy of mind" -- "philosophy of psychology"
"philosophy of mind" -- "metaphysics"
"small-scale fisheries" -- "social-ecological systems"
"cancer imaging" -- "molecular imaging"
"public diplomacy" -- "public relations"
"geografia física" -- "geomorfologia"
"monetary economics" -- "applied macroeconomics"
"monetary economics" -- "macroeconomics"
"monetary economics" -- "macroeconomic theory"
"environmental fluid mechanics" -- "physical limnology"
"environmental fluid mechanics" -- "turbulence"
"high entropy alloys" -- "bulk metallic glasses"
"microbiome" -- "microbiology"
"bioethics" -- "research ethics"
"bioethics" -- "ethics"
"bioethics" -- "environmental ethics"
"bioethics" -- "medical ethics"
"bioethics" -- "clinical ethics"
"bioethics" -- "neuroethics"
"bioethics" -- "health law"
"bioethics" -- "health care ethics"
"bioethics" -- "philosophy of medicine"
"bioethics" -- "forensic medicine"
"bioethics" -- "public health ethics"
"asset management" -- "smart grid"
"technical communication" -- "rhetoric"
"technical communication" -- "professional writing"
"health professions education" -- "medical education"
"phase retrieval" -- "coherent diffractive imaging"
"phase retrieval" -- "optics"
"anxiety disorders" -- "obsessive-compulsive disorder"
"anxiety disorders" -- "clinical psychology"
"anxiety disorders" -- "social anxiety"
"tools" -- "compilers"
"object-oriented programming" -- "software engineering"
"pharmacy" -- "pharmacology"
"twitter" -- "social media"
"international history" -- "international relations"
"international history" -- "british empire"
"occupational therapy" -- "rehabilitation"
"hyperthermia" -- "thermal ablation"
"hyperthermia" -- "magnetic nanoparticles"
"chemical looping" -- "gasification"
"organic photovoltaics" -- "plastic electronics"
"organic photovoltaics" -- "semiconducting polymers"
"organic photovoltaics" -- "organic electronics"
"statistical inference" -- "machine learning"
"applied mathematics" -- "numerical"
"applied mathematics" -- "optimal design"
"applied mathematics" -- "nonlinear waves"
"applied mathematics" -- "asymptotics"
"applied mathematics" -- "bayesian estimation"
"applied mathematics" -- "numerical analysis"
"fractal geometry" -- "dynamical systems"
"medical error" -- "patient safety"
"medical error" -- "patient satisfaction"
"psychophysics" -- "vision"
"quantitative methodology" -- "measurement"
"pottery" -- "archaeology"
"historical archaeology" -- "archaeology"
"cost-benefit analysis" -- "policy analysis"
"x-ray computed tomography" -- "compressed sensing"
"semantics of programming languages" -- "logic"
"noc" -- "vlsi"
"noc" -- "mpsoc"
"party politics" -- "comparative politics"
"measurement error" -- "survey methodology"
"suicidal behavior" -- "eating disorders"
"low vision" -- "eye movements"
"conflict management" -- "job satisfaction"
"conflict management" -- "negotiation"
"social history" -- "economic history"
"body image" -- "eating disorders"
"body image" -- "imaging informatics"
"elliptic curves" -- "cryptography"
"workforce development" -- "economic development"
"comparative social policy" -- "social stratification"
"philosophy of language" -- "wittgenstein"
"philosophy of language" -- "philosophical logic"
"philosophy of language" -- "metaethics"
"symbolic execution" -- "software engineering"
"rarefied gas dynamics" -- "fluid mechanics"
"medical image computing" -- "medical image analysis"
"photocatalyst" -- "nanomaterials"
"construction" -- "building technology"
"construction" -- "project management"
"anammox" -- "microbial ecology"
"cardiovascular genetics" -- "bioinformatics"
"integer programming" -- "operations research"
"amyotrophic lateral sclerosis" -- "neurodegeneration"
"design automation" -- "embedded systems"
"data assimilation" -- "prediction"
"data assimilation" -- "mesoscale meteorology"
"data assimilation" -- "numerical weather prediction"
"data assimilation" -- "remote sensing"
"mass spectrometry" -- "glycoproteomics"
"mass spectrometry" -- "lipidomics"
"mass spectrometry" -- "quantitative proteomics"
"mass spectrometry" -- "analytical chemistry"
"mass spectrometry" -- "proteomics"
"mass spectrometry" -- "hplc"
"mass spectrometry" -- "mass spectrometry imaging"
"mass spectrometry" -- "capillary electrophoresis"
"mass spectrometry" -- "metabolomics"
"mass spectrometry" -- "ion mobility spectrometry"
"mass spectrometry" -- "liquid chromatography"
"mass spectrometry" -- "radical chemistry"
"mass spectrometry" -- "glycosylation"
"single molecule biophysics" -- "helicase"
"single molecule biophysics" -- "molecular motors"
"ingegneria civile" -- "meccanica"
"film history" -- "film theory"
"manufacturing" -- "metal forming"
"manufacturing" -- "machining"
"older people" -- "dementia"
"bias" -- "policing"
"laterality" -- "spatial attention"
"laterality" -- "handedness"
"surface engineering" -- "tribology"
"surface engineering" -- "thermal spray"
"social interaction" -- "russian"
"social interaction" -- "conversation analysis"
"drug discovery" -- "mycobacterium tuberculosis"
"drug discovery" -- "protein modeling"
"drug discovery" -- "assay development"
"drug discovery" -- "cancer pharmacology"
"drug discovery" -- "medicinal chemistry"
"drug discovery" -- "recombinant protein production"
"drug discovery" -- "high-throughput screening"
"drug discovery" -- "delivery"
"delay differential equations" -- "mathematical biology"
"fuzzy systems" -- "machine learning"
"health services research" -- "health policy"
"health services research" -- "quality of care"
"health services research" -- "medicare"
"health services research" -- "healthcare management"
"health services research" -- "older adults"
"health services research" -- "dental public health"
"flames" -- "combustion"
"gas separation" -- "polymeric membranes"
"gas separation" -- "membranes"
"service innovation" -- "value co-creation"
"service innovation" -- "services marketing"
"health literacy" -- "health communication"
"molecular spectroscopy" -- "physical chemistry"
"environmental radioactivity" -- "climate change"
"monitoring" -- "evaluation"
"engineering seismology" -- "earthquake engineering"
"cigs" -- "thin film solar cells"
"filosofía de la ciencia" -- "historia de la ciencia"
"feminist philosophy" -- "political philosophy"
"quality engineering" -- "scientometrics"
"gynecologic oncology" -- "quality of life"
"perceptual organization" -- "visual perception"
"electrical machine design" -- "control"
"tokamak" -- "plasma physics"
"polymer brushes" -- "polymer chemistry"
"human language technology" -- "pattern recognition"
"urban development" -- "housing"
"als" -- "neurodegeneration"
"content analysis" -- "environmental"
"chemical synthesis" -- "immunoassay"
"spine" -- "scoliosis"
