"odontologia" -- "materiais dentários"
"statistical genetics" -- "psychiatric genetics"
"mammals" -- "conservation biology"
"mammals" -- "cetaceans"
"digital curation" -- "digital preservation"
"advanced process control" -- "model predictive control"
"calidad" -- "biblioteca universitaria"
"calidad" -- "innovación"
"computational design" -- "architecture"
"gpu" -- "cuda"
"gpu" -- "fpga"
"educational research" -- "assessment"
"global optimization" -- "optimization"
"global optimization" -- "nonlinear optimization"
"discrete element method" -- "granular materials"
"discrete element method" -- "rock mechanics"
"presidency" -- "american politics"
"heritage tourism" -- "sustainable tourism"
"reaction engineering" -- "catalysis"
"sparse representation" -- "image processing"
"deporte" -- "immigration"
"asic" -- "fpga"
"quantum walks" -- "quantum information"
"muscle biology" -- "meat science"
"health economics" -- "education economics"
"health economics" -- "economic evaluation"
"health economics" -- "health information"
"health economics" -- "economics of aging"
"health economics" -- "cost-effectiveness analysis"
"health economics" -- "population economics"
"health economics" -- "cost-effectiveness"
"health economics" -- "labor economics"
"health economics" -- "health outcomes research"
"health economics" -- "health policy"
"health economics" -- "health technology assessment"
"health economics" -- "outcomes research"
"health economics" -- "health outcomes"
"health economics" -- "health insurance"
"health economics" -- "pharmacoeconomics"
"intelligent agents" -- "artificial intelligence"
"mixed methods" -- "qualitative"
"biotech" -- "innovation"
"structure from motion" -- "computer vision"
"pharmacogenetics" -- "pharmacogenomics"
"smart buildings" -- "smart grid"
"wearable sensors" -- "machine learning"
"autism" -- "imitation"
"autism" -- "applied behavior analysis"
"autism" -- "adhd"
"autism" -- "early intervention"
"autism" -- "behavior analysis"
"autism" -- "sensory processing"
"autism" -- "social skills"
"autism" -- "developmental disabilities"
"autism" -- "special education"
"autism" -- "intellectual disability"
"autism" -- "asd"
"autism" -- "face processing"
"autism" -- "neuroscience"
"ion traps" -- "quantum computing"
"markov decision processes" -- "machine learning"
"spine biomechanics" -- "orthopaedic biomechanics"
"spine biomechanics" -- "ergonomics"
"mimo systems" -- "wireless communications"
"tectónica" -- "geofísica"
"tectónica" -- "geoquímica"
"health management" -- "prognostics"
"neighbourhoods" -- "housing"
"drug screening" -- "molecular biology"
"party systems" -- "political parties"
"design science" -- "information systems"
"women s studies" -- "gender"
"envejecimiento" -- "métodos de investigación"
"critical gis" -- "health geography"
"intelligenza artificiale" -- "medical imaging"
"electrical machines" -- "power electronics"
"electrical machines" -- "applied superconductivity"
"auditing" -- "internal control"
"auditing" -- "accounting information systems"
"auditing" -- "accounting"
"auditing" -- "fraud"
"auditing" -- "financial accounting"
"auditing" -- "corporate governance"
"auditing" -- "accounting education"
"retrieval" -- "machine learning"
"geometric" -- "cam"
"phenotypic plasticity" -- "evolution"
"land surface modeling" -- "hydrology"
"urban politics" -- "public policy"
"urban politics" -- "global cities"
"carbon nanostructures" -- "materials science"
"medicine" -- "biology"
"medicine" -- "medical research"
"medicine" -- "healthcare policy"
"medicine" -- "genetik"
"medicine" -- "medicina"
"medicine" -- "surgery"
"waveform design" -- "radar signal processing"
"tsunami" -- "coastal engineering"
"authoritarian regimes" -- "political economy of development"
"space weather" -- "space plasma physics"
"space weather" -- "space physics"
"space weather" -- "ionospheric physics"
"space weather" -- "heliophysics"
"structural analysis" -- "earthquake engineering"
"animal ecology" -- "conservation biology"
"folklore" -- "anthropology"
"activism" -- "social movements"
"human trafficking" -- "migration"
"human trafficking" -- "organised crime"
"positive organizational scholarship" -- "positive psychology"
"liposomes" -- "drug delivery"
"citation analysis" -- "bibliometrics"
"microbial oceanography" -- "microbial ecology"
"scintillators" -- "lanthanides"
"carbon footprint" -- "life cycle assessment"
"human movement analysis" -- "biomechanics"
"nitride semiconductors" -- "nanotechnology"
"strengthening" -- "structural engineering"
"ibd" -- "gastrointestinal cancer"
