"combustion" -- "cfd"
"combustion" -- "alternative fuels"
"combustion" -- "sprays"
"combustion" -- "thermoacoustics"
"combustion" -- "gasification"
"combustion" -- "emissions"
"combustion" -- "gas turbines"
"combustion" -- "laser diagnostics"
"combustion" -- "energy"
"combustion" -- "internal combustion engines"
"combustion" -- "propulsion"
"combustion" -- "fire"
"combustion" -- "chemical kinetics"
"bioanalytical chemistry" -- "mass spectrometry"
"developmental" -- "regenerative biology"
"adaptive control" -- "nonlinear"
"adaptive control" -- "nonlinear control"
"strategic management" -- "entrepreneurship"
"internet measurement" -- "computer networks"
"international law" -- "environmental law"
"international law" -- "international criminal law"
"international law" -- "eu law"
"international law" -- "human rights"
"higher education" -- "education policy"
"higher education" -- "learning"
"oral" -- "maxillofacial surgery"
"marine geophysics" -- "tectonics"
"provenance" -- "semantic web"
"crispr" -- "genome editing"
"open source software" -- "free will"
"análisis de datos" -- "psicometría"
"análisis de datos" -- "estadística"
"insects" -- "evolution"
"climate policy" -- "energy"
"animal behavior" -- "animal communication"
"animal behavior" -- "evolution"
"applied mechanics" -- "materials science"
"malaria" -- "molecular parasitology"
"malaria" -- "infectious diseases"
"security studies" -- "international relations"
"aerosol science" -- "air pollution"
"visual attention" -- "eye movements"
"pharmacogenomics" -- "pharmacogenetics"
"pharmacogenomics" -- "personalized medicine"
"computational logic" -- "knowledge representation"
"stable isotopes" -- "biogeochemistry"
"ancient dna" -- "population genetics"
"chromatography" -- "analytical chemistry"
"economics" -- "natural resources"
"economics" -- "tourism economics"
"economics" -- "economic history"
"economics" -- "industrial organization"
"economics" -- "political economics"
"economics" -- "public choice"
"economics" -- "social science"
"economics" -- "econometrics"
"economics" -- "empirical industrial organization"
"economics" -- "law"
"economics" -- "finance"
"business process management" -- "business process modeling"
"business process management" -- "process mining"
"business process management" -- "information systems"
"fault detection" -- "diagnosis"
"genetic engineering" -- "molecular biology"
"cosmochemistry" -- "meteoritics"
"cosmochemistry" -- "geochemistry"
"geografia urbana" -- "geografia econômica"
"geografia urbana" -- "urbanismo"
