"biostatistics" -- "epidemiology"
"biostatistics" -- "spatial"
"complex networks" -- "complex systems"
"design" -- "product design"
"design" -- "innovation"
"design" -- "packaging"
"design" -- "architecture"
"design" -- "manufacturing"
"design" -- "typography"
"design" -- "analysis of algorithms"
"rural development" -- "agriculture"
"eda" -- "vlsi"
"analog circuits" -- "rf"
"neuroimaging" -- "diffusion mri"
"neuroimaging" -- "brain networks"
"neuroimaging" -- "clinical neuroscience"
"neuroimaging" -- "schizophrenia"
"neuroimaging" -- "neuromodulation"
"neuroimaging" -- "neuroscience"
"neuroimaging" -- "brain connectivity"
"social inclusion" -- "mental health"
"precision engineering" -- "metrology"
"precision engineering" -- "mechatronics"
"stable isotope geochemistry" -- "paleoclimatology"
"prognostics" -- "health management"
"prognostics" -- "diagnostics"
"second language acquisition" -- "vocabulary"
"neural circuits" -- "neuroscience"
"black holes" -- "astrophysics"
"risk perception" -- "communication"
"space science" -- "astrophysics"
"alternative splicing" -- "genomics"
"network-on-chip" -- "computer architecture"
"contrast agents" -- "molecular imaging"
"public international law" -- "international criminal law"
"neuroeconomics" -- "decision making"
"neuroeconomics" -- "decision neuroscience"
"biostratigraphy" -- "micropaleontology"
"nutrients" -- "biogeochemistry"
"text mining" -- "machine learning"
"game studies" -- "game design"
"carbon capture" -- "storage"
"disordered systems" -- "glass"
"t cells" -- "immunology"
"urologic oncology" -- "urology"
"sleep" -- "circadian rhythms"
"sleep" -- "neuroscience"
"sleep" -- "chronobiology"
"governance" -- "nonprofits"
"governance" -- "participation"
"governance" -- "public administration"
"governance" -- "regulation"
"concrete technology" -- "construction materials"
"moral psychology" -- "ethics"
"social policy" -- "poverty"
"social policy" -- "welfare state"
"distance education" -- "online learning"
"cavitation" -- "fluid mechanics"
"astrophysics" -- "cosmology"
"astrophysics" -- "gravitational waves"
"astrophysics" -- "radio astronomy"
"astrophysics" -- "plasma physics"
"astrophysics" -- "physics"
"astrophysics" -- "astronomy"
"astrophysics" -- "neutron stars"
"astrophysics" -- "star formation"
"virtual environments" -- "virtual reality"
"fuzzy sets" -- "systems"
"phase change materials" -- "thermal energy storage"
"probability" -- "statistics"
"rendering" -- "computer graphics"
"climate modeling" -- "climate change"
"gis" -- "geography"
"gis" -- "geoinformatics"
"gis" -- "spatial statistics"
"gis" -- "sig"
"gis" -- "land use planning"
"gis" -- "spatial epidemiology"
"gis" -- "urban geography"
"gis" -- "mapping"
"gis" -- "cartography"
"gis" -- "urban sustainability"
"gis" -- "urban climate"
"gis" -- "spatial databases"
"gis" -- "community engagement"
"gis" -- "spatial analysis"
"gis" -- "health geography"
"gis" -- "remote sensing"
"health systems" -- "health policy"
"technology management" -- "innovation"
"biological sciences" -- "agriculture"
"indigenous peoples" -- "human rights"
"hydroclimatology" -- "hydrology"
"eye movements" -- "attention"
"evolutionary dynamics" -- "complex systems"
"quantitative biology" -- "systems biology"
"historia" -- "educación"
"historia" -- "arqueología"
"historia" -- "historia del arte"
"pattern formation" -- "nonlinear dynamics"
"information science" -- "library"
"information science" -- "library science"
"information science" -- "information behavior"
"information science" -- "bibliometrics"
"information science" -- "librarianship"
"framing" -- "political communication"
"computational biology" -- "bioinformatics"
"computational biology" -- "structural bioinformatics"
"computational biology" -- "transcriptional regulation"
"stem" -- "tem"
"stem" -- "gender"
"mixed reality" -- "virtual reality"
"international migration" -- "ethnicity"
"social demography" -- "family"
"origin of life" -- "astrobiology"
"hedge funds" -- "mutual funds"
"basin analysis" -- "sedimentology"
"psychoneuroimmunology" -- "health psychology"
"digital communications" -- "signal processing"
"viruses" -- "cancer"
"food systems" -- "sustainability"
"cognitive control" -- "attention"
"cognitive control" -- "prefrontal cortex"
"employment relations" -- "human resource management"
"employment relations" -- "sociology of work"
"employment relations" -- "hrm"
"environmental nanotechnology" -- "environmental engineering"
"lidar" -- "remote sensing"
"computer networks" -- "routing"
"computer networks" -- "distributed systems"
"computer networks" -- "network management"
"computer networks" -- "software defined networking"
"computer networks" -- "network measurement"
"computer networks" -- "wireless networks"
"computer networks" -- "performance evaluation"
"computer networks" -- "network security"
"transfer learning" -- "machine learning"
"cscw" -- "hci"
"cscw" -- "cscl"
"sem" -- "tem"
"mechanobiology" -- "biomechanics"
"bacteriology" -- "microbiology"
"memory systems" -- "computer architecture"
"reproductive biology" -- "andrology"
"reproductive biology" -- "infertility"
"learning analytics" -- "learning technologies"
"learning analytics" -- "educational technology"
"learning analytics" -- "moocs"
"learning analytics" -- "educational data mining"
"learning analytics" -- "technology enhanced learning"
"mechanical properties" -- "microstructure"
"atmospheric chemistry" -- "ozone"
"atmospheric chemistry" -- "aerosols"
"atmospheric chemistry" -- "air pollution"
"atmospheric chemistry" -- "satellite remote sensing"
"atmospheric chemistry" -- "atmospheric aerosols"
"atmospheric chemistry" -- "air quality"
"positioning" -- "navigation"
"social media marketing" -- "marketing"
"intersectionality" -- "gender"
"composites" -- "thermal analysis"
"composites" -- "rhetoric"
"composites" -- "polymers"
"composites" -- "textiles"
"synthetic organic chemistry" -- "medicinal chemistry"
"european politics" -- "comparative politics"
"geometric modeling" -- "computer graphics"
"alloys" -- "metals"
"stochastic geometry" -- "wireless communications"
"lte" -- "wireless communications"
"carcinogenesis" -- "toxicology"
"x-ray diffraction" -- "crystallography"
"density functional theory" -- "computational materials science"
"density functional theory" -- "quantum chemistry"
"genetic epidemiology" -- "cancer epidemiology"
"critical care medicine" -- "pulmonary"
"water treatment" -- "environmental engineering"
"water treatment" -- "membrane separation"
"water treatment" -- "desalination"
"water treatment" -- "advanced oxidation processes"
"inequality" -- "labor markets"
"inequality" -- "poverty"
"inequality" -- "gender"
"inequality" -- "social mobility"
"inequality" -- "stratification"
"electrocatalysis" -- "electrochemistry"
"second interest" -- "first interest"
"affective computing" -- "machine learning"
"museums" -- "heritage"
"molecular microbiology" -- "bioinformatics"
"social exclusion" -- "poverty"
"photoelectrochemistry" -- "electrochemistry"
"neural computation" -- "machine learning"
"calculus of variations" -- "partial differential equations"
"lipid metabolism" -- "diabetes"
"social media analysis" -- "machine learning"
"digital health" -- "machine learning"
"raman" -- "sers"
"eeg" -- "bci"
"eeg" -- "meg"
"eeg" -- "erp"
"eeg" -- "fmri"
"palaeoclimatology" -- "palaeoecology"
"environmental politics" -- "policy"
"human-robot interaction" -- "social robotics"
"inorganic chemistry" -- "materials chemistry"
"inorganic chemistry" -- "bioinorganic chemistry"
"inorganic chemistry" -- "catalysis"
"inorganic chemistry" -- "coordination chemistry"
"políticas públicas" -- "educação"
"semantic web" -- "ontologies"
"semantic web" -- "ontology engineering"
"semantic web" -- "artificial intelligence"
"semantic web" -- "linked data"
"semantic web" -- "open data"
"solar energy" -- "photovoltaics"
"sentiment analysis" -- "opinion mining"
"sentiment analysis" -- "natural language processing"
"laser scanning" -- "photogrammetry"
"design thinking" -- "innovation"
"construction management" -- "bim"
"construction management" -- "building information modeling"
"construction management" -- "project management"
"mhealth" -- "ehealth"
"applied microeconometrics" -- "labour economics"
"neuropsychiatry" -- "psychiatry"
"organizational culture" -- "leadership"
"supramolecular chemistry" -- "molecular recognition"
"supramolecular chemistry" -- "organic chemistry"
"supramolecular chemistry" -- "crystal engineering"
"flow" -- "transport in porous media"
"flow" -- "mri"
"laser physics" -- "nonlinear optics"
"phenomenology" -- "philosophy"
"phenomenology" -- "continental philosophy"
"microscopy" -- "optics"
"game design" -- "artificial intelligence"
"atomic layer deposition" -- "thin films"
"international education" -- "comparative"
"international education" -- "education"
"language teaching" -- "learning"
"contract theory" -- "game theory"
"product development" -- "engineering design"
"positive youth development" -- "resilience"
"impulsivity" -- "addiction"
"nmr" -- "structural biology"
"regenerative medicine" -- "tissue engineering"
"autophagy" -- "cancer"
"autophagy" -- "cell death"
"administrative law" -- "constitutional law"
"philosophy of social science" -- "philosophy of science"
"network biology" -- "systems biology"
"multimedia information retrieval" -- "machine learning"
"knowledge sharing" -- "knowledge management"
"gender studies" -- "disability studies"
"gender studies" -- "cultural studies"
"land-atmosphere interactions" -- "climate"
"family medicine" -- "primary care"
"dielectrics" -- "ferroelectrics"
"estimation theory" -- "wireless communications"
"coordination chemistry" -- "molecular magnetism"
"empowerment" -- "leadership"
"design education" -- "engineering design"
"evidence synthesis" -- "systematic reviews"
"real estate finance" -- "corporate finance"
"regeneration" -- "stem cells"
"nutrient cycling" -- "biogeochemistry"
"first-principles calculations" -- "materials science"
"zoology" -- "ecology"
"light scattering" -- "optics"
"data curation" -- "data management"
"numerical analysis" -- "pdes"
"numerical analysis" -- "finite element method"
"numerical analysis" -- "numerical linear algebra"
"numerical analysis" -- "applied mathematics"
"numerical analysis" -- "computational mathematics"
"numerical analysis" -- "approximation theory"
"numerical analysis" -- "partial differential equations"
"numerical analysis" -- "computational fluid dynamics"
"image segmentation" -- "machine learning"
"evolutionary genomics" -- "bioinformatics"
"big data analysis" -- "machine learning"
"intelligent tutoring systems" -- "artificial intelligence"
"música" -- "art"
"international" -- "comparative education"
"applications" -- "control theory"
"climate change" -- "drought"
"climate change" -- "air pollution"
"climate change" -- "extreme events"
"climate change" -- "ocean acidification"
"climate change" -- "food security"
"climate change" -- "agriculture"
"climate change" -- "wildfire"
"climate change" -- "paleolimnology"
"climate change" -- "crop modeling"
"climate change" -- "forest ecology"
"climate change" -- "climate adaptation"
"climate change" -- "phenology"
"climate change" -- "permafrost"
"climate change" -- "adaptation"
"climate change" -- "plant ecophysiology"
"climate change" -- "arctic"
"climate change" -- "tropical cyclones"
"climate change" -- "sustainable development"
"climate change" -- "hydrology"
"climate change" -- "climate variability"
"climate change" -- "land use change"
"climate change" -- "biogeochemical cycles"
"climate change" -- "carbon cycle"
"climate change" -- "sustainable agriculture"
"climate change" -- "ecology"
"climate change" -- "greenhouse gases"
"climate change" -- "coral reefs"
"climate change" -- "earth system science"
"climate change" -- "climate dynamics"
"methodology" -- "statistics"
"methodology" -- "design theory"
"marine biogeochemistry" -- "oceanography"
"econometrics" -- "statistics"
"econometrics" -- "applied economics"
"econometrics" -- "time series"
"social choice" -- "game theory"
"question answering" -- "natural language processing"
"micropaleontology" -- "paleoceanography"
"fem" -- "cfd"
"paleoceanography" -- "paleoclimatology"
"synthetic chemistry" -- "medicinal chemistry"
"semiconductor lasers" -- "photonics"
"marketing" -- "management"
"marketing" -- "advertising"
"marketing" -- "choice modelling"
"marketing" -- "consumer research"
"marketing" -- "international marketing"
"marketing" -- "innovación"
"marketing" -- "marketing research"
"marketing" -- "pricing"
"marketing" -- "tourism"
"marketing" -- "branding"
"marketing" -- "consumer"
"marketing" -- "fashion"
"marketing" -- "consumer behaviour"
"marketing" -- "consumer behavior"
"marketing" -- "retailing"
"marketing" -- "consumer culture"
"marketing" -- "brand management"
"marketing" -- "services"
"marketing" -- "crm"
"teacher professional development" -- "mathematics education"
"wildlife biology" -- "conservation biology"
"biomedical devices" -- "mems"
"service management" -- "networks"
"consumption" -- "environment"
"fuel cells" -- "hydrogen production"
"fuel cells" -- "batteries"
"fuel cells" -- "electrochemistry"
"fuel cells" -- "hydrogen"
"international political economy" -- "international relations"
"ruminant nutrition" -- "dairy science"
"maternal" -- "child health"
"qualitative methods" -- "gender"
"child maltreatment" -- "child welfare"
"polarization" -- "optics"
"ethnomusicology" -- "popular music"
"cardiac electrophysiology" -- "cardiology"
"discrete mathematics" -- "combinatorics"
"thermal transport" -- "thermoelectrics"
"systems neuroscience" -- "computational neuroscience"
"enzymology" -- "biochemistry"
"instructional technology" -- "distance learning"
"instructional technology" -- "instructional design"
"filosofía" -- "sociología"
"filosofía" -- "estética"
"filosofía" -- "ética"
"3d printing" -- "additive manufacturing"
"3d printing" -- "tissue engineering"
"mineral processing" -- "flotation"
"systems biology" -- "bioinformatics"
"systems biology" -- "cell cycle"
"systems biology" -- "systems pharmacology"
"systems biology" -- "synthetic biology"
"systems biology" -- "systems medicine"
"social theory" -- "sociology of knowledge"
"social theory" -- "sociology"
"computer architecture" -- "high performance computing"
"computer architecture" -- "hardware security"
"computer architecture" -- "electronic design automation"
"computer architecture" -- "computer systems"
"computer architecture" -- "reconfigurable computing"
"computer architecture" -- "digital design"
"computer architecture" -- "approximate computing"
"computer architecture" -- "vlsi design"
"computer architecture" -- "parallel processing"
"computer architecture" -- "computer engineering"
"computer architecture" -- "embedded systems"
"computer architecture" -- "compilers"
"computer architecture" -- "computer arithmetic"
"computer architecture" -- "interconnection networks"
"computer architecture" -- "parallel programming"
"computer architecture" -- "vlsi"
"solid mechanics" -- "soft materials"
"solid mechanics" -- "mechanics of materials"
"solid mechanics" -- "computational mechanics"
"solid mechanics" -- "experimental mechanics"
"seagrass" -- "marine ecology"
"fermentation" -- "biofuels"
"surgery" -- "trauma"
"surgery" -- "general"
"surgery" -- "surgical oncology"
"pulmonary" -- "critical care"
"groundwater modeling" -- "hydrogeology"
"smoking cessation" -- "public health"
"innovation policy" -- "science"
"sociology" -- "anthropology"
"sociology" -- "education"
"sociology" -- "rural"
"sociology" -- "social inequality"
"sociology" -- "demography"
"sociology" -- "migration studies"
"sociology" -- "criminology"
"sociology" -- "methods"
"labor" -- "public"
"phylogenomics" -- "bioinformatics"
"cardiac surgery" -- "cardiology"
"contemporary art" -- "art history"
"carbon" -- "biogeochemistry"
"cloud" -- "aerosols"
"single molecule" -- "biophysics"
"philosophy of physics" -- "philosophy of science"
"data compression" -- "data structures"
"microstructure" -- "materials science"
"sexual violence" -- "gender"
"vibrational spectroscopy" -- "computational chemistry"
"computer science" -- "cyberinfrastructure"
"computer science" -- "artificial intelligence"
"computer science" -- "informatics"
"computer science" -- "programming"
"computer science" -- "software"
"reliability" -- "electronic packaging"
"reliability" -- "maintenance"
"geography" -- "environmental studies"
"geography" -- "urban studies"
"structural health monitoring" -- "non-destructive testing"
"structural health monitoring" -- "wave propagation"
"structural health monitoring" -- "smart structures"
"structural health monitoring" -- "structural control"
"structural health monitoring" -- "wireless sensors"
"structural health monitoring" -- "acoustic emission"
"structural health monitoring" -- "nondestructive evaluation"
"arctic" -- "sea ice"
"coaching" -- "leadership"
"supercapacitors" -- "batteries"
"supercapacitors" -- "metal oxides"
"supercapacitors" -- "carbon materials"
"supercapacitors" -- "li-ion batteries"
"numerical cognition" -- "cognitive neuroscience"
"photodynamic therapy" -- "drug delivery"
"thermodynamics" -- "heat transfer"
"thermodynamics" -- "kinetics"
"radiochemistry" -- "pet"
"citizenship" -- "migration"
"autonomic computing" -- "cloud computing"
"climate science" -- "atmospheric science"
"traffic safety" -- "transportation engineering"
"traffic safety" -- "intelligent transportation systems"
"traffic safety" -- "traffic operations"
"forest ecology" -- "silviculture"
"forest ecology" -- "dendrochronology"
"forest ecology" -- "disturbance ecology"
"forest ecology" -- "ecological restoration"
"forest ecology" -- "fire ecology"
"forest ecology" -- "forest management"
"animal physiology" -- "ecology"
"child welfare" -- "social work"
"collaborative learning" -- "mobile learning"
"food chemistry" -- "food science"
"water resources management" -- "hydrology"
"materials modelling" -- "computational mechanics"
"electron transfer" -- "photosynthesis"
"statistical computing" -- "machine learning"
"phononics" -- "thermoelectrics"
"haptics" -- "surgical robotics"
"domestic violence" -- "intimate partner violence"
"sleep medicine" -- "psychiatry"
"digital libraries" -- "digital humanities"
"digital libraries" -- "metadata"
"magnetohydrodynamics" -- "plasma physics"
"equality" -- "diversity"
"antioxidants" -- "oxidative stress"
"nems" -- "mems"
"women" -- "gender"
"topology" -- "geometric group theory"
"topology" -- "geometry"
"foreign direct investment" -- "international trade"
"family business" -- "entrepreneurship"
"quantitative research methods" -- "interpersonal communication"
"health" -- "nature"
"health" -- "illness"
"health" -- "neighborhoods"
"health" -- "well-being"
"health" -- "aging"
"health" -- "sport"
"health" -- "medical"
"health" -- "safety"
"health" -- "social determinants of health"
"cancer genetics" -- "bioinformatics"
"nanophotonics" -- "nanoplasmonics"
"nanophotonics" -- "silicon photonics"
"nanophotonics" -- "quantum optics"
"nanophotonics" -- "surface plasmon"
"nanophotonics" -- "photonic crystals"
"wildlife management" -- "conservation biology"
"rfic" -- "integrated circuits"
"educación" -- "sociología"
"educación" -- "tic"
"educación" -- "género"
"educación" -- "formación del profesorado"
"electrochemistry" -- "solid oxide fuel cells"
"electrochemistry" -- "energy materials"
"electrochemistry" -- "conducting polymers"
"electrochemistry" -- "corrosion"
"electrochemistry" -- "electrodeposition"
"electrochemistry" -- "energy storage"
"electrochemistry" -- "materials science"
"electrochemistry" -- "bioelectrochemistry"
"electrochemistry" -- "catalysis"
"electrochemistry" -- "nanomaterials"
"animal studies" -- "cultural studies"
"monitoring" -- "evaluation"
"vehicle dynamics" -- "control"
"productivity" -- "efficiency"
"productivity" -- "innovation"
"information theory" -- "wireless communications"
"information theory" -- "coding"
"information theory" -- "network coding"
"information theory" -- "coding theory"
"information theory" -- "communication theory"
"information theory" -- "communication networks"
"voting" -- "elections"
"cultural theory" -- "cultural studies"
"navigation" -- "gnss"
"brain computer interface" -- "machine learning"
"economics of innovation" -- "industrial economics"
"economics of innovation" -- "entrepreneurship"
"multivariate analysis" -- "machine learning"
"alternative communication" -- "augmentative"
"alternative communication" -- "assistive technology"
"outsourcing" -- "innovation"
"ecological modelling" -- "conservation biology"
"radiology" -- "mri"
"radiology" -- "interventional radiology"
"radiology" -- "neuroradiology"
"pavement" -- "civil engineering"
"historical ecology" -- "archaeology"
"human-environment interactions" -- "remote sensing"
"energy transfer" -- "ultrafast spectroscopy"
"punishment" -- "criminology"
"china" -- "east asia"
"china" -- "international relations"
"china" -- "asia"
"amyloid" -- "protein aggregation"
"compound semiconductors" -- "optoelectronics"
"civil engineering" -- "geotechnics"
"civil engineering" -- "geotechnical engineering"
"sensory biology" -- "neuroethology"
"accelerators" -- "lasers"
"trust" -- "reputation"
"trust" -- "privacy"
"x-ray scattering" -- "neutron scattering"
"creativity" -- "innovation"
"pragmatics" -- "discourse"
"climate change adaptation" -- "food security"
"flow assurance" -- "gas hydrates"
"flow assurance" -- "multiphase flow"
"power management" -- "energy harvesting"
"anomalous diffusion" -- "fractional calculus"
"anomalous diffusion" -- "statistical physics"
"derechos humanos" -- "filosofía del derecho"
"melanoma" -- "cancer"
"lattice boltzmann method" -- "multiphase flow"
"biological invasions" -- "conservation biology"
"sports biomechanics" -- "injury biomechanics"
"sports biomechanics" -- "biomechanics"
"transport economics" -- "industrial organization"
"transport economics" -- "transport policy"
"medical entomology" -- "ecology"
"iot" -- "wsn"
"iot" -- "cloud computing"
"conservation biology" -- "freshwater ecology"
"conservation biology" -- "mammalogy"
"conservation biology" -- "amphibians"
"conservation biology" -- "marine mammals"
"conservation biology" -- "herpetology"
"conservation biology" -- "invasion ecology"
"conservation biology" -- "marine ecology"
"conservation biology" -- "fisheries science"
"conservation biology" -- "community ecology"
"conservation biology" -- "landscape genetics"
"conservation biology" -- "citizen science"
"conservation biology" -- "avian ecology"
"conservation biology" -- "wildlife ecology"
"conservation biology" -- "disease ecology"
"conservation biology" -- "behavioral ecology"
"conservation biology" -- "mammals"
"conservation biology" -- "landscape ecology"
"conservation biology" -- "restoration ecology"
"conservation biology" -- "spatial ecology"
"conservation biology" -- "primatology"
"conservation biology" -- "stream ecology"
"conservation biology" -- "ecology"
"conservation biology" -- "tropical ecology"
"conservation biology" -- "coral reef ecology"
"conservation biology" -- "movement ecology"
"conservation biology" -- "quantitative ecology"
"nuclear magnetic resonance" -- "biophysics"
"transportation safety" -- "transportation engineering"
"muscle physiology" -- "biomechanics"
"molecular biophysics" -- "structural biology"
"alcohol" -- "addiction"
"alcohol" -- "smoking"
"organic geochemistry" -- "biogeochemistry"
"geostatistics" -- "hydrogeology"
"asthma" -- "cystic fibrosis"
"asthma" -- "allergy"
"asthma" -- "copd"
"silicon photonics" -- "optical interconnects"
"silicon photonics" -- "integrated optics"
"process control" -- "crystallization"
"process control" -- "process optimization"
"financial intermediation" -- "corporate finance"
"technology policy" -- "science"
"structures" -- "earthquake engineering"
"structures" -- "concrete"
"structures" -- "smart materials"
"reservoir simulation" -- "flow in porous media"
"reservoir simulation" -- "reservoir engineering"
"3d reconstruction" -- "computer vision"
"learning theory" -- "machine learning"
"victorian literature" -- "culture"
"europe" -- "france"
"immunogenetics" -- "immunology"
"microbiome" -- "microbiology"
"human capital" -- "economic growth"
"optoelectronics" -- "iii-v semiconductors"
"optoelectronics" -- "photodetectors"
"optoelectronics" -- "semiconductor physics"
"optoelectronics" -- "photonics"
"optoelectronics" -- "semiconductor devices"
"neurochemistry" -- "neuroscience"
"functional data analysis" -- "statistics"
"neurodegenerative diseases" -- "prions"
"neurodegenerative diseases" -- "neuroscience"
"algebra" -- "combinatorics"
"algebra" -- "geometry"
"watershed management" -- "hydrology"
"eating disorders" -- "obesity"
"eating disorders" -- "body image"
"endocrinology" -- "reproduction"
"endocrinology" -- "reproductive physiology"
"endocrinology" -- "diabetes mellitus"
"endocrinology" -- "diabetes"
"hydrodynamics" -- "cfd"
"thermal" -- "heat transfer"
"inference" -- "machine learning"
"information technology" -- "information systems"
"geobiology" -- "geochemistry"
"physics" -- "condensed matter"
"physics" -- "condensed matter theory"
"physics" -- "materials science"
"physics" -- "optics"
"physics" -- "mathematics"
"music theory" -- "music cognition"
"channel coding" -- "wireless communications"
"impact assessment" -- "sustainable development"
"veterinary medicine" -- "epidemiology"
"online education" -- "educational technology"
"x-ray spectroscopy" -- "condensed matter physics"
"technical communication" -- "rhetoric"
"chromatin" -- "epigenetics"
"hemostasis" -- "thrombosis"
"arabidopsis" -- "plant biology"
"japan" -- "international relations"
"number theory" -- "combinatorics"
"number theory" -- "algebraic geometry"
"risk" -- "resilience"
"risk" -- "hazards"
"risk" -- "uncertainty"
"smart materials" -- "soft robotics"
"smart materials" -- "shape memory alloys"
"sport management" -- "sport marketing"
"synthetic aperture radar" -- "remote sensing"
"land use" -- "transportation"
"occupational health" -- "safety"
"leukemia" -- "cancer"
"leukemia" -- "lymphoma"
"psychophysics" -- "vision"
"masculinity" -- "gender"
"synaptic transmission" -- "neuroscience"
"computational geometry" -- "computational topology"
"computational geometry" -- "algorithms"
"computational geometry" -- "graph drawing"
"psicologia" -- "medicina"
"land cover" -- "remote sensing"
"cellular automata" -- "complex systems"
"psychosis" -- "schizophrenia"
"book history" -- "digital humanities"
"orthopedics" -- "biomechanics"
"technological innovation" -- "entrepreneurship"
"stem cells" -- "cancer"
"stem cells" -- "cardiovascular biology"
"stem cells" -- "tissue engineering"
"stem cells" -- "differentiation"
"stem cells" -- "hematopoiesis"
"stem cells" -- "heart"
"stem cells" -- "muscular dystrophy"
"stem cells" -- "regenerative biology"
"stem cells" -- "developmental neuroscience"
"stem cells" -- "tissue regeneration"
"stem cells" -- "cancer stem cells"
"stem cells" -- "disease modeling"
"educational psychology" -- "educational technology"
"cloud computing" -- "distributed systems"
"cloud computing" -- "cloud security"
"cloud computing" -- "resource management"
"cloud computing" -- "hpc"
"cloud computing" -- "web services"
"cloud computing" -- "distributed computing"
"cloud computing" -- "big data"
"cloud computing" -- "soa"
"cloud computing" -- "workflows"
"cloud computing" -- "sdn"
"cloud computing" -- "internet of things"
"cloud computing" -- "virtualization"
"cloud computing" -- "green computing"
"cloud computing" -- "service computing"
"cloud computing" -- "data centers"
"cloud computing" -- "mobile cloud computing"
"anxiety disorders" -- "clinical psychology"
"professional learning" -- "teacher education"
"marine geology" -- "sedimentology"
"distributed systems" -- "fault tolerance"
"distributed systems" -- "operating systems"
"distributed systems" -- "p2p"
"distributed systems" -- "networks"
"distributed systems" -- "peer-to-peer"
"distributed systems" -- "middleware"
"distributed systems" -- "dependability"
"distributed systems" -- "performance"
"equity" -- "diversity"
"neuroscienze" -- "farmacologia"
"r d" -- "innovation"
"audio processing" -- "speech"
"ecology" -- "ecosystem services"
"ecology" -- "environmental science"
"ecology" -- "extinction"
"ecology" -- "mycorrhiza"
"ecology" -- "wildlife"
"ecology" -- "biodiversity conservation"
"ecology" -- "predator-prey interactions"
"ecology" -- "social insects"
"ecology" -- "fish"
"ecology" -- "behaviour"
"ecology" -- "plant"
"ecology" -- "fisheries"
"ecology" -- "ecophysiology"
"ecology" -- "marine biology"
"ecology" -- "ants"
"ecology" -- "pollination"
"ecology" -- "conservation science"
"ecology" -- "biogeography"
"ecology" -- "population dynamics"
"ecology" -- "parasites"
"ecology" -- "biomonitoring"
"ecology" -- "invasion biology"
"ecology" -- "natural resource management"
"ecology" -- "evolutionary biology"
"ecology" -- "botany"
"ecology" -- "ethology"
"ecology" -- "ecotoxicology"
"ecology" -- "biology"
"ecology" -- "conservation"
"ecology" -- "invasive species"
"ecology" -- "entomology"
"ecology" -- "phycology"
"ecology" -- "dispersal"
"ecology" -- "food webs"
"ecology" -- "agroecology"
"ecology" -- "biodiversity"
"ecology" -- "physiological ecology"
"ecology" -- "global change biology"
"ecology" -- "global change"
"ecology" -- "marine"
"ecology" -- "bats"
"ecology" -- "evolution"
"ecology" -- "ornithology"
"crop science" -- "agronomy"
"bioprocess engineering" -- "metabolic engineering"
"medicinal chemistry" -- "natural products"
"medicinal chemistry" -- "peptide chemistry"
"medicinal chemistry" -- "organic synthesis"
"medicinal chemistry" -- "chemical biology"
"medicinal chemistry" -- "drug discovery"
"medicinal chemistry" -- "drug design"
"medicinal chemistry" -- "organic chemistry"
"medicinal chemistry" -- "natural products chemistry"
"typography" -- "visual communication"
"vibration" -- "acoustics"
"vibration" -- "noise"
"vibration" -- "modal analysis"
"operations" -- "supply chain management"
"game-based learning" -- "educational technology"
"optical coherence tomography" -- "optical imaging"
"optical coherence tomography" -- "biomedical optics"
"functional genomics" -- "bioinformatics"
"integration" -- "migration"
"les" -- "turbulence"
"stability" -- "control"
"spintronics" -- "magnetism"
"alzheimer s" -- "neuroscience"
"protein chemistry" -- "biochemistry"
"neurodegenerative disorders" -- "alzheimer s disease"
"mutual funds" -- "investments"
"photoacoustic imaging" -- "ultrasound"
"interest groups" -- "political parties"
"biophysical chemistry" -- "spectroscopy"
"circuit design" -- "embedded systems"
"systemic risk" -- "banking"
"vanet" -- "manet"
"vanet" -- "wireless networks"
"fluid dynamics" -- "turbulence"
"water splitting" -- "artificial photosynthesis"
"water splitting" -- "photocatalysis"
"environmental governance" -- "political ecology"
"environmental governance" -- "water governance"
"architectural design" -- "architecture"
"neural interfaces" -- "neural engineering"
"earthquakes" -- "geophysics"
"pathogens" -- "microbiology"
"risk management" -- "insurance"
"risk management" -- "finance"
"risk management" -- "project management"
"computational solid mechanics" -- "fracture mechanics"
"systematic reviews" -- "meta-analysis"
"systematic reviews" -- "knowledge translation"
"close relationships" -- "social psychology"
"chinese economy" -- "development economics"
"geomicrobiology" -- "biogeochemistry"
"conservation genetics" -- "population genetics"
"ethics" -- "morality"
"ethics" -- "political philosophy"
"ethics" -- "bioethics"
"ethics" -- "philosophy"
"ethics" -- "justice"
"condensed matter theory" -- "strongly correlated systems"
"occupational therapy" -- "rehabilitation"
"counseling" -- "counselor education"
"counseling" -- "psychotherapy"
"cornea" -- "ophthalmology"
"electronic structure theory" -- "quantum chemistry"
"urology" -- "oncology"
"solar physics" -- "space physics"
"voice" -- "speech"
"venture capital" -- "private equity"
"venture capital" -- "entrepreneurship"
"semiconductor materials" -- "devices"
"public policy" -- "public administration"
"public policy" -- "policy analysis"
"public policy" -- "political science"
"energy conversion" -- "nanomaterials"
"energy conversion" -- "storage"
"wastewater treatment" -- "environmental engineering"
"wastewater treatment" -- "microbial fuel cell"
"wastewater treatment" -- "anaerobic digestion"
"wastewater treatment" -- "membrane technology"
"wastewater treatment" -- "water"
"personality" -- "intelligence"
"personality" -- "psychopathy"
"personality" -- "social psychology"
"personality" -- "individual differences"
"personality" -- "psychopathology"
"personality" -- "assessment"
"personality" -- "personality disorders"
"personality" -- "selection"
"nanostructured materials" -- "materials science"
"comparative politics" -- "political science"
"comparative politics" -- "european union"
