"dtn" -- "networks"
"programming languages" -- "program synthesis"
"programming languages" -- "interactive theorem proving"
"programming languages" -- "static analysis"
"programming languages" -- "garbage collection"
"programming languages" -- "types"
"programming languages" -- "modularity"
"programming languages" -- "software engineering"
"smart buildings" -- "simulation-based optimization"
"smart buildings" -- "smart grid"
"contaminant hydrogeology" -- "hydrogeology"
"photoacoustic tomography" -- "biomedical imaging"
"evaporation" -- "condensation"
"perturbation methods" -- "fluid mechanics"
"papua new guinea" -- "melanesia"
"papua new guinea" -- "anthropology"
"neuroblastoma" -- "angiogenesis"
"democratization" -- "comparative politics"
"democratization" -- "authoritarianism"
"democratization" -- "ethnic conflict"
"quantum metrology" -- "quantum information"
"project finance" -- "renewable energy"
"biophysical modeling" -- "mri physics"
"biophysical modeling" -- "biological physics"
"inference" -- "machine learning"
"inference" -- "nonparametric estimation"
"endodontology" -- "dentistry"
"frame theory" -- "operator theory"
"child language acquisition" -- "language development"
"manufacturing automation" -- "robotics"
"ontology learning" -- "semantic web"
"integrated water management" -- "environmental flows"
"quimiometria" -- "química analítica"
"crisis management" -- "risk management"
"corporate crime" -- "environmental economics"
"graph signal processing" -- "machine learning"
"social studies" -- "education"
"health law" -- "public health law"
"health law" -- "bioethics"
"health law" -- "medical law"
"deltas" -- "morphodynamics"
"financial statement analysis" -- "valuation"
"computational plasma physics" -- "high performance computing"
"bio-inspired engineering" -- "machine learning"
"biomolecular engineering" -- "chemical"
"europeanization" -- "policy analysis"
"pharmaceutical nanotechnology" -- "drug delivery"
"politics of development" -- "social networks"
"civil rights" -- "constitutional law"
"civil rights" -- "african american history"
"piezotronics" -- "nanogenerator"
"community nutrition" -- "nutrition"
"community nutrition" -- "nutrition education"
"theriogenology" -- "stem cells"
"molecular design" -- "machine learning"
"molecular motors" -- "single molecule biophysics"
"molecular motors" -- "biophysics"
"wireless communications" -- "channel coding"
"wireless communications" -- "sdr"
"wireless communications" -- "cross-layer optimization"
"wireless communications" -- "resource allocation"
"wireless communications" -- "massive mimo"
"wireless communications" -- "mobile communication"
"wireless communications" -- "vlsi signal processing"
"wireless communications" -- "channel estimation"
"wireless communications" -- "device-to-device communication"
"wireless communications" -- "signal processing"
"wireless communications" -- "interference management"
"wireless communications" -- "molecular communication"
"wireless communications" -- "mimo systems"
"wireless communications" -- "relay"
"wireless communications" -- "cognitive radio"
"wireless communications" -- "mimo"
"wireless communications" -- "radio resource management"
"wireless communications" -- "space-time codes"
"wireless communications" -- "visible light communications"
"wireless communications" -- "4g"
"wireless communications" -- "signal processing for wireless"
"wireless communications" -- "stochastic geometry"
"wireless communications" -- "wlan"
"wireless communications" -- "cellular networks"
"wireless communications" -- "physical layer security"
"wireless communications" -- "spatial modulation"
"wireless communications" -- "lte"
"wireless communications" -- "channel modeling"
"wireless communications" -- "satellite communications"
"wireless communications" -- "nanonetworks"
"wireless communications" -- "signal processing for communications"
"wireless communications" -- "wireless power"
"wireless communications" -- "smart grid communications"
"wireless communications" -- "ofdm"
"wireless communications" -- "information theory"
"wireless communications" -- "network information theory"
"wireless communications" -- "underwater acoustic communications"
"wireless communications" -- "green communications"
"wireless communications" -- "5g"
"wireless communications" -- "heterogeneous networks"
"drug interactions" -- "pharmacology"
"ocean energy" -- "control systems"
"governance" -- "reformation"
"governance" -- "regulation"
"governance" -- "public administration"
"governance" -- "participation"
"computational nanoscience" -- "molecular dynamics"
"botánica" -- "sistemática"
"botánica" -- "biología de la conservación"
"network medicine" -- "systems biology"
"fisiologia do exercício" -- "biomecânica"
"interfacial chemistry" -- "nanomaterials"
"cancer immunotherapy" -- "immunology"
"vocational education" -- "training"
"tibet" -- "china"
"lignocellulosic biomass" -- "biofuels"
"graduate education" -- "higher education"
"rna-protein interactions" -- "rna structure"
"recognition" -- "object detection"
"multicomponent reactions" -- "medicinal chemistry"
"immigration policy" -- "public policy"
"real analysis" -- "harmonic analysis"
"wine" -- "grape"
"wine" -- "yeast"
"pathophysiology" -- "diabetes"
"phase retrieval" -- "computational microscopy"
"phase retrieval" -- "coherent diffractive imaging"
"phase retrieval" -- "optics"
"sequential analysis" -- "probability"
"mobile health" -- "machine learning"
"analitik kimya" -- "elektrokimya"
"analitik kimya" -- "kimya"
"advanced process control" -- "model predictive control"
"nonlinear partial differential equations" -- "fluid mechanics"
"world history" -- "environmental history"
"mechanistic enzymology" -- "origin of life"
"neurobiology of learning" -- "memory"
"flow instabilities" -- "aeroacoustics"
"local adaptation" -- "speciation"
"statebuilding" -- "peacebuilding"
"química supramolecular" -- "biomateriais"
"química supramolecular" -- "química de materiais"
"structural determination" -- "isolation"
"heterochromatin" -- "epigenetics"
"diaspora studies" -- "migration"
"approximate dynamic programming" -- "revenue management"
"turbomachines" -- "computational fluid dynamics"
"turbomachines" -- "mécanique des fluides"
"satellite navigation" -- "aviation"
"mesoscale" -- "meteorology"
"synthetic biology" -- "cell-free protein synthesis"
"synthetic biology" -- "dna computing"
"synthetic biology" -- "genome engineering"
"synthetic biology" -- "biological engineering"
"synthetic biology" -- "natural product biosynthesis"
"synthetic biology" -- "protein engineering"
"synthetic biology" -- "systems biology"
"synthetic biology" -- "dna nanotechnology"
"synthetic biology" -- "metabolic engineering"
"synthetic biology" -- "plant molecular physiology"
"tecnologia" -- "cultura digital"
"tecnologia" -- "educação"
"data warehousing" -- "olap"
"data warehousing" -- "data mining"
"implementation" -- "dissemination"
"implementation" -- "child anxiety"
"hrd" -- "tvet"
"smart cards" -- "rfid"
"bayesian approach" -- "wind engineering"
"bayesian approach" -- "sle"
"creep" -- "fatigue"
"audio" -- "room acoustics"
"audio" -- "acoustics"
"singing" -- "music"
"sensory" -- "neuroscience"
"antropologia urbana" -- "antropologia"
"antropologia urbana" -- "sociologia urbana"
"translational control" -- "virology"
"nems" -- "mems"
"paleobiology" -- "paleontology"
"paleobiology" -- "phylogenetic comparative methods"
"paleobiology" -- "vertebrate paleontology"
"species delimitation" -- "phylogeography"
"transition metal oxides" -- "condensed matter physics"
"cardiovascular modeling" -- "vascular surgery"
"neuroevolution" -- "artificial intelligence"
"telehealth" -- "telemedicine"
"telehealth" -- "telecare"
"history of the book" -- "history of science"
"medicaid" -- "access to care"
"medicaid" -- "medicare"
"abortion" -- "contraception"
"medical geography" -- "spatial epidemiology"
"assisted living" -- "machine learning"
"retention" -- "employee turnover"
"retention" -- "turnover"
"retention" -- "higher education"
"macromolecules" -- "carbon"
"latin american literature" -- "spanish literature"
"latin american literature" -- "culture"
"latin american literature" -- "caribbean literature"
"latin american literature" -- "latin american studies"
"nursing" -- "maternity care"
"nursing" -- "enfermería"
"nursing" -- "workforce"
"nursing" -- "wounds"
"nursing" -- "midwifery"
"nursing" -- "nursing research"
"nursing" -- "aged care"
"nursing" -- "mental health"
"nursing" -- "nursing education"
"transcription" -- "epigenetics"
"transcription" -- "retinoblastoma"
"transcription" -- "splicing"
"transcription" -- "cardiac development"
"transcription" -- "rna polymerase"
"social cognitive development" -- "prosocial behavior"
"quality of healthcare" -- "patient safety"
"political geography" -- "border studies"
"political geography" -- "geopolitics"
"political geography" -- "economic geography"
"pulmonary" -- "critical care"
"pulmonary" -- "critical care medicine"
"friction stir processing" -- "severe plastic deformation"
"sorghum" -- "genetics"
"public procurement" -- "european law"
"corporate social responsibility" -- "corporate governance"
"corporate social responsibility" -- "business ethics"
"corporate social responsibility" -- "sustainability reporting"
"corporate social responsibility" -- "stakeholder engagement"
"corporate social responsibility" -- "business sustainability"
"corporate social responsibility" -- "corporate reputation"
"corporate social responsibility" -- "sustainable finance"
"corporate social responsibility" -- "stakeholder management"
"corporate social responsibility" -- "corporate sustainability"
"corporate social responsibility" -- "integrated reporting"
"autotuning" -- "gpgpu"
"women in politics" -- "campaigns"
"xbrl" -- "accounting information systems"
"polycystic ovary syndrome" -- "metabolism"
"ciencias de la tierra" -- "geofísica"
"plasmonics" -- "hyperbolic metamaterials"
"plasmonics" -- "optical trapping"
"plasmonics" -- "electrodynamics"
"plasmonics" -- "biosensing"
"plasmonics" -- "diffraction gratings"
"plasmonics" -- "dna origami"
"plasmonics" -- "eels"
"plasmonics" -- "gold nanoparticles"
"plasmonics" -- "diffractive optics"
"plasmonics" -- "nanoantennas"
"plasmonics" -- "novel materials"
"plasmonics" -- "raman scattering"
"plasmonics" -- "magneto-optics"
"plasmonics" -- "single particle spectroscopy"
"plasmonics" -- "surface enhanced raman scattering"
"plasmonics" -- "computational electrodynamics"
"plasmonics" -- "sensing"
"plasmonics" -- "metal nanoparticles"
"plasmonics" -- "cathodoluminescence"
"plasmonics" -- "nanolasers"
"plasmonics" -- "nanofabrication"
"plasmonics" -- "physical optics"
"plasmonics" -- "near-field optics"
"plasmonics" -- "graphene photonics"
"plasmonics" -- "optical antennas"
"plasmonics" -- "nano-optics"
"plasmonics" -- "sers"
"plasmonics" -- "magnetoplasmonics"
"plasmonics" -- "nanocatalyst"
"plasmonics" -- "photonics"
"plasmonics" -- "random laser"
"plasmonics" -- "chirality"
"plasmonics" -- "functional nanomaterials"
"plasmonics" -- "nanophotonics"
"plasmonics" -- "fdtd"
"plasmonics" -- "metamaterials"
"plasmonics" -- "mid-infrared"
"sustainable food systems" -- "agriculture"
"sensor technology" -- "astrophysics"
"enzyme evolution" -- "biochemistry"
"environmental microbiology" -- "environmental virology"
"environmental microbiology" -- "wastewater engineering"
"environmental microbiology" -- "bioremediation"
"environmental microbiology" -- "biodegradation"
"environmental microbiology" -- "microbial ecology"
"environmental microbiology" -- "microbial"
"inteligencia emocional" -- "rendimiento académico"
"inteligencia emocional" -- "educación emocional"
"reproductive physiology" -- "endocrinology"
"reproductive physiology" -- "developmental programming"
"multimedia analysis" -- "computer vision"
"resistance training" -- "sports science"
"patient engagement" -- "clinical informatics"
"pancreas" -- "liver"
"speech" -- "voice"
"speech" -- "language disorders"
"speech" -- "machine learning"
"speech" -- "stuttering"
"speech" -- "audio processing"
"speech" -- "language processing"
"speech" -- "language therapy"
"variational methods" -- "image processing"
"nostalgia" -- "media"
"transport properties" -- "materials science"
"veterinary ophthalmology" -- "tissue engineering"
"philosophy of mathematics" -- "frege"
"philosophy of mathematics" -- "history of mathematics"
"philosophy of mathematics" -- "logic"
"interactional linguistics" -- "conversation analysis"
"damage mechanics" -- "advanced cement based materials"
"damage mechanics" -- "fracture mechanics"
"skull base tumors" -- "cerebrovascular"
"free radical biology" -- "oxidative stress"
"risk management" -- "options"
"risk management" -- "project management"
"risk management" -- "financial derivatives"
"risk management" -- "energy finance"
"risk management" -- "finance"
"risk management" -- "insurance"
"risk management" -- "derivatives"
"risk management" -- "insurance economics"
"risk management" -- "financial engineering"
"risk management" -- "emergency response"
"application security" -- "information security"
"computational fluid dynamics" -- "high-order methods"
"computational fluid dynamics" -- "biofluid dynamics"
"computational fluid dynamics" -- "environmental flows"
"computational fluid dynamics" -- "hypersonic flows"
"computational fluid dynamics" -- "smoothed particle hydrodynamics"
"computational fluid dynamics" -- "hemodynamics"
"computational fluid dynamics" -- "turbulence"
"computational fluid dynamics" -- "non-newtonian fluids"
"computational fluid dynamics" -- "immersed boundary method"
"computational fluid dynamics" -- "computational aeroacoustics"
"computational fluid dynamics" -- "reduced order modeling"
"computational fluid dynamics" -- "turbulent flows"
"computational fluid dynamics" -- "ship hydrodynamics"
"computational fluid dynamics" -- "numerical algorithms"
"computational fluid dynamics" -- "fluid-structure interaction"
"computational fluid dynamics" -- "hydrodynamic stability"
"computational fluid dynamics" -- "experimental fluid dynamics"
"computational fluid dynamics" -- "marine hydrodynamics"
"computational fluid dynamics" -- "turbulence modeling"
"computational fluid dynamics" -- "cardiovascular biomechanics"
"computational fluid dynamics" -- "computational heat transfer"
"computational fluid dynamics" -- "combustion modeling"
"symbioses" -- "evolution"
"forest hydrology" -- "ecohydrology"
"disease ecology" -- "tick-borne diseases"
"disease ecology" -- "ecoimmunology"
"disease ecology" -- "conservation physiology"
"disease ecology" -- "conservation biology"
"disease ecology" -- "amphibian conservation"
"disease ecology" -- "ecological immunology"
"human factors" -- "human error"
"human factors" -- "resilience engineering"
"human factors" -- "automated driving"
"human factors" -- "hmi"
"human factors" -- "aviation"
"human factors" -- "interruptions"
"human factors" -- "cognitive engineering"
"human factors" -- "auditory display"
"human factors" -- "ergonomics"
"human factors" -- "comfort"
"human factors" -- "driver distraction"
"human factors" -- "engineering psychology"
"human factors" -- "cognitive systems engineering"
"human factors" -- "neuroergonomics"
"geodesy" -- "surveying"
"geodesy" -- "hydrography"
"geodesy" -- "physical geodesy"
"geodesy" -- "earthquake hazard"
"geodesy" -- "gravity field"
"geodesy" -- "small satellites"
"geodesy" -- "altimetry"
"synthesis of nanomaterials" -- "supercapacitors"
"nondestructive evaluation" -- "structural health monitoring"
"community engagement" -- "participatory action research"
"community engagement" -- "deliberative democracy"
"multimedia" -- "computer vision"
"quantum materials" -- "condensed matter physics"
"gene regulatory networks" -- "bioinformatics"
"gene delivery" -- "biomaterials"
"gene delivery" -- "drug"
"epigenetic regulation" -- "cancer biology"
"neurostimulation" -- "neuroscience"
"demand response" -- "smart grid"
"maternal child health" -- "epidemiology"
"formal languages" -- "combinatorics on words"
"formal languages" -- "semigroups"
"formal languages" -- "automata theory"
"satellite oceanography" -- "physical oceanography"
"argumentation" -- "artificial intelligence"
