"dtn" -- "networks"
"bulk metallic glasses" -- "materials science"
"bulk metallic glasses" -- "high entropy alloys"
"context" -- "memory"
"competitividad" -- "redes"
"competitividad" -- "inovação"
"urban education" -- "education policy"
"unconventional resources" -- "oil gas"
"unconventional resources" -- "reservoir engineering"
"spintronics" -- "magnetic recording"
"spintronics" -- "magnetic semiconductors"
"spintronics" -- "nanomagnetism"
"spintronics" -- "spin physics"
"spintronics" -- "mram"
"spintronics" -- "micromagnetics"
"spintronics" -- "magnetic thin films"
"spintronics" -- "magnetic nanostructures"
"spintronics" -- "thin film deposition"
"spintronics" -- "magnetization dynamics"
"spintronics" -- "skyrmions"
"spintronics" -- "spin caloritronics"
"health disparities" -- "african american"
"health disparities" -- "hispanics"
"health disparities" -- "latino health"
"health disparities" -- "sleep research"
"health disparities" -- "children s health"
"health disparities" -- "minority health"
"health disparities" -- "socioeconomic status"
"health disparities" -- "cultural competence"
"health disparities" -- "partner violence"
"health disparities" -- "men s health"
"health disparities" -- "cbpr"
"health disparities" -- "vulnerable populations"
"health disparities" -- "community-based participatory research"
"health disparities" -- "social epidemiology"
"health disparities" -- "minority aging"
"health disparities" -- "physical activity promotion"
"dna" -- "biophysics"
"infancy" -- "social-emotional development"
"infancy" -- "developmental psychology"
"atmospheric composition" -- "remote sensing"
"optimal control theory" -- "mathematical biology"
"homeland security" -- "terrorism"
"dna sequencing" -- "bioinformatics"
"historical gis" -- "economic history"
"business communication" -- "professionalism"
"imaging genetics" -- "neuroscience"
"force field development" -- "biophysics"
"eco-innovation" -- "technological change"
"democratic theory" -- "political theory"
"democratic theory" -- "contemporary political theory"
"democratic theory" -- "deliberative democracy"
"social simulation" -- "agent-based modeling"
"formal semantics" -- "linguistics"
"materials for energy" -- "nanomaterials"
"rural history" -- "economic history"
"haiti" -- "religion"
"macrophages" -- "monocyte"
"mesothelioma" -- "cancer"
"estimation theory" -- "signal processing"
"global production networks" -- "global value chains"
"global production networks" -- "economic geography"
"controlled drug delivery" -- "biomaterials"
"cytomegalovirus" -- "virology"
"new institutional economics" -- "political economy"
"computational creativity" -- "artificial intelligence"
"gifted" -- "special education"
"us foreign policy" -- "international relations"
"prisoner reentry" -- "criminology"
"wireless communication networks" -- "wireless sensor networks"
"audiology" -- "hearing science"
"audiology" -- "neuroscience"
"optical coherence tomography" -- "freeform optics"
"optical coherence tomography" -- "quantitative phase imaging"
"optical coherence tomography" -- "retinal imaging"
"optical coherence tomography" -- "multimodal imaging"
"optical coherence tomography" -- "biomedical optics"
"optical coherence tomography" -- "photoacoustic microscopy"
"applied geophysics" -- "hydrogeophysics"
"biomarker discovery" -- "proteomics"
"invention" -- "innovation"
"carnivores" -- "ecology"
"environmental analytical chemistry" -- "environmental chemistry"
"entropy" -- "neuroimaging"
"pet imaging" -- "neurobiology of aging"
"pet imaging" -- "radiochemistry"
"parasitologia" -- "biologia molecular"
"semiconductor technology" -- "quantum cascade lasers"
"exercise therapy" -- "rehabilitation"
"influenza virus" -- "virology"
"fem simulation" -- "materials science"
"cytoskeleton" -- "cell biology"
"cytoskeleton" -- "actin"
"direitos humanos" -- "políticas públicas"
"accreditation" -- "assessment"
"intermetallics" -- "materials science"
"intermetallics" -- "soldering"
"kinetics" -- "thermodynamics"
"kinetics" -- "thermal analysis"
"neurodegeneration" -- "huntington s disease"
"neurodegeneration" -- "iron metabolism"
"neurodegeneration" -- "protein aggregation"
"neurodegeneration" -- "neuroscience"
"neurodegeneration" -- "nuclear pore complex"
"neurodegeneration" -- "prion disease"
"neurodegeneration" -- "amyotrophic lateral sclerosis"
"adaptive control" -- "nonlinear control"
"adaptive control" -- "nonlinear"
"biomedical applications" -- "image processing"
"civil society" -- "social movements"
"bats" -- "ecology"
"byzantine studies" -- "late antiquity"
"evolutionary development" -- "brain networks"
"typography" -- "design"
"typography" -- "visual communication"
"typography" -- "graphic design"
"typography" -- "information design"
"tidal energy" -- "renewable energy"
"sociology of knowledge" -- "social theory"
"relationship education" -- "marriage"
"feeding" -- "obesity"
"nonsmooth optimization" -- "convex analysis"
"english education" -- "teacher education"
"english education" -- "critical literacy"
"computational genetics" -- "bioinformatics"
"search theory" -- "macroeconomics"
"post-translational modifications" -- "proteomics"
"cardiac mechanics" -- "biomechanics"
"aerobiology" -- "environmental hygiene"
"bereavement" -- "grief"
"weight loss" -- "obesity"
"industry evolution" -- "entrepreneurship"
"computational geometry" -- "graph drawing"
"computational geometry" -- "meshing"
"computational geometry" -- "mesh generation"
"human factors engineering" -- "ergonomics"
"stability analysis" -- "neural networks"
"defence" -- "foreign policy"
"software quality" -- "software engineering"
"crime" -- "deviance"
"crime" -- "neighborhood effects"
"crime" -- "criminology"
"crime" -- "drug policy"
"crime" -- "neighborhood change"
"crime" -- "community"
"crime" -- "fear of crime"
"randomized algorithms" -- "approximation algorithms"
"molecular simulation" -- "statistical mechanics"
"molecular simulation" -- "nucleation"
"molecular simulation" -- "force fields"
"molecular simulation" -- "molecular thermodynamics"
"molecular simulation" -- "membrane fusion"
"molecular simulation" -- "nanoporous materials"
"social development" -- "developmental psychology"
"human dimensions of natural resources" -- "climate change"
"rna modification" -- "epitranscriptomics"
"radiative heat transfer" -- "cfd"
"syria" -- "middle east"
"química inorgânica" -- "catálise"
"strongly correlated systems" -- "condensed matter theory"
"strongly correlated systems" -- "frustrated magnetism"
"computational fluid dynamics (cfd)" -- "heat transfer"
"inclusive education" -- "special education"
"inclusive education" -- "participatory research"
"neurochemistry" -- "neuroscience"
"variational analysis" -- "optimization"
"piracy" -- "maritime security"
"piracy" -- "intellectual property"
"rural livelihoods" -- "climate change"
"quantum electrodynamics" -- "laser wakefield acceleration"
"spatial data analysis" -- "geography"
"bio-inspired systems" -- "intelligent structures"
"consensus" -- "group decision making"
"consensus" -- "multi-agent systems"
"radiometry" -- "hyperspectral imaging"
"electronic medical records" -- "genetics"
"embedded librarianship" -- "information literacy"
"volatility" -- "finance"
"marine ecology" -- "seagrass ecology"
"marine ecology" -- "marine biodiversity"
"marine ecology" -- "estuarine ecology"
"marine ecology" -- "interspecific interactions"
"marine ecology" -- "conservation biology"
"marine ecology" -- "seascape ecology"
"marine ecology" -- "anthropogenic impacts"
"marine ecology" -- "marine reserves"
"marine ecology" -- "seagrass"
"marine ecology" -- "invertebrate zoology"
"marine ecology" -- "benthic ecology"
"marine ecology" -- "intertidal ecology"
"marine ecology" -- "trophic ecology"
"marine ecology" -- "human impacts"
"marine ecology" -- "parental effects"
"online social networks" -- "privacy"
"process intensification" -- "chemical engineering"
"welfare" -- "poverty"
"ftir" -- "raman"
"bees" -- "pollination"
"librarians" -- "library"
"cellular reprogramming" -- "stem cell biology"
"lattice theory" -- "mathematical morphology"
"lattice theory" -- "static program analysis"
"blindness" -- "neuroscience"
"technology diffusion" -- "health economics"
"vibrational spectroscopy" -- "nonlinear optics"
"x-ray" -- "synchrotron"
"x-ray" -- "neutron diffraction"
"x-ray" -- "neutron scattering"
"mitosis" -- "cell biology"
"mitosis" -- "protein phosphatases"
"pgis" -- "volunteered geographic information"
"pgis" -- "vgi"
"gender inequality" -- "labor markets"
"ion channel biophysics" -- "drug discovery"
"social computing" -- "human-computer interaction"
"social computing" -- "crisis informatics"
"college access" -- "higher education"
"saúde pública" -- "epidemiologia"
"polymer dynamics" -- "rheology"
"vulnerability" -- "human dimensions"
"vulnerability" -- "resilience"
"character" -- "well-being"
"open education" -- "educational technology"
"event-related potentials" -- "attention"
"histopathology" -- "histology"
"interval analysis" -- "numerical analysis"
"energy policy" -- "environmental policy"
"energy policy" -- "socio-technical transitions"
"energy policy" -- "sustainability transitions"
"energy policy" -- "energy security"
"space biology" -- "gene expression"
"axon degeneration" -- "neuroscience"
"veterans" -- "military sociology"
"molecular assembly" -- "non-equilibrium dynamics"
"convex optimization" -- "machine learning"
"convex optimization" -- "semidefinite programming"
"foraging behavior" -- "primate ecology"
"molecular oncology" -- "pathology"
"source localization" -- "wireless sensor networks"
"laparoscopic surgery" -- "liver transplantation"
"laparoscopic surgery" -- "hepatobiliary surgery"
"laparoscopic surgery" -- "gastrointestinal surgery"
"nonprofit studies" -- "philanthropy"
"protein interactions" -- "structural biology"
"cultural anthropology" -- "social"
"tourism development" -- "management"
"alternative splicing" -- "genomics"
"alternative splicing" -- "rna binding proteins"
"bioinspiration" -- "biomimetics"
"statistical genetics" -- "genetic epidemiology"
"statistical genetics" -- "psychiatric genetics"
"statistical genetics" -- "genome-wide association studies"
"statistical genetics" -- "bioinformatics"
"law of the sea" -- "public international law"
"problem-based learning" -- "engineering education"
"liquid chromatography" -- "mass spectrometry"
"microanalysis" -- "microscopy"
"lakes" -- "limnology"
"foucault" -- "sociology"
"development" -- "africa"
"development" -- "civil conflict"
"development" -- "trade"
"development" -- "labor"
"development" -- "training"
"development" -- "globalisation"
"development" -- "decolonization"
"development" -- "cerebral cortex"
"development" -- "ict4d"
"development" -- "growth"
"development" -- "evolution"
"development" -- "embryonic stem cells"
"development" -- "nutrition transition"
"development" -- "gender equality"
"genetic variation" -- "genetics"
"empirical microeconomics" -- "industrial organization"
"neuroengineering" -- "neuroscience"
"lubrication" -- "tribology"
"lubrication" -- "bearings"
"vegetation ecology" -- "biodiversity"
"reaxff" -- "molecular modeling"
"interfaces" -- "surface"
"interfaces" -- "wettability"
"landscape archaeology" -- "archaeology"
"landscape archaeology" -- "mediterranean archaeology"
"sugar" -- "nutrition"
"diversity management" -- "difference"
"diversity management" -- "human resource management"
"complementary medicine" -- "integrative medicine"
"tomographic imaging" -- "image processing"
"ownership" -- "social cognition"
"tumor" -- "cancer"
"bio-nano interface" -- "biophysics"
"patient outcomes" -- "health service delivery"
"omics" -- "bioinformatics"
"soft matter" -- "granular matter"
"soft matter" -- "gels"
"soft matter" -- "biophysics"
"soft matter" -- "liquid crystals"
"soft matter" -- "display technology"
"soft matter" -- "active matter"
"soft matter" -- "colloid science"
"soft matter" -- "glass transition"
"social housing" -- "housing"
"theoretical immunology" -- "complex systems"
"nano device" -- "mems sensor"
"biography" -- "life writing"
"biography" -- "memory"
"bounded rationality" -- "behavioral economics"
"powertrain" -- "internal combustion engines"
"subsea engineering" -- "offshore engineering"
"coral reef ecology" -- "conservation biology"
"memory architecture" -- "vlsi"
"commutative algebra" -- "algebraic geometry"
"gc" -- "ms"
"biogeochemical cycles" -- "climate change"
"social epistemology" -- "philosophy of science"
"dyes" -- "textiles"
"cognitive processes" -- "depression"
"solid state ionics" -- "solid state electrochemistry"
"solid state ionics" -- "solid oxide fuel cells"
"solid state ionics" -- "size effects"
"organisational learning" -- "knowledge sharing"
"cambio climático" -- "biología de la conservación"
"language testing" -- "applied linguistics"
"sviluppo locale" -- "turismo"
"efficiency" -- "productivity analysis"
"efficiency" -- "productivity"
"endocrine disruptors" -- "toxicology"
"tumorigenesis" -- "signal transduction"
"ecology evolution" -- "public health"
"musculoskeletal radiology" -- "mri"
"sex" -- "gender"
"aphasia" -- "speech pathology"
"aphasia" -- "language"
"aphasia" -- "speech-language pathology"
"glioma" -- "brain tumors"
"eresearch" -- "human-centered computing"
"college" -- "higher education"
"driver behaviour" -- "traffic psychology"
"experimental high energy physics" -- "neutrinos"
"maize" -- "genetics"
"calibration" -- "computer vision"
"sociology of work" -- "employment relations"
"diabetes prevention" -- "obesity"
"plant molecular biology" -- "polyamines"
"plant molecular biology" -- "genetics"
"stress tolerance" -- "ecological physiology"
"soil science" -- "soil chemistry"
"soil science" -- "agronomy"
"soil science" -- "crops"
"soil science" -- "environmental science"
"soil science" -- "charcoal"
"soil science" -- "soil biogeochemistry"
"soil science" -- "conservation agriculture"
"soil science" -- "pedology"
"soil science" -- "soil pollution"
"soil science" -- "biochar"
"secondary battery" -- "energy storage"
"regional analysis" -- "gis"
"torrefaction" -- "pyrolysis"
"head" -- "neck surgery"
"head" -- "surgical pathology"
"head" -- "ear"
"head" -- "otorhinolaryngology"
"head" -- "neck"
"head" -- "neck cancer"
"head" -- "otolaryngology"
"head" -- "neuroradiology"
"head" -- "thyroid cancer"
"bmp signaling" -- "tgf-beta"
"bmp signaling" -- "developmental genetics"
"ground penetrating radar" -- "antennas"
"safety" -- "occupational health"
"safety" -- "mine ventilation"
"safety" -- "quality"
"safety" -- "workplace health"
"moral development" -- "developmental psychology"
"intergroup conflict" -- "terrorism"
"electronic structure" -- "computational chemistry"
"electronic structure" -- "quantum monte carlo"
"electronic structure" -- "computational materials physics"
"electronic structure" -- "lattice dynamics"
"pcr" -- "microfluidics"
"sensory analysis" -- "olive oil"
"natural selection" -- "evolutionary ecology"
"transportation engineering" -- "transportation safety"
"transportation engineering" -- "traffic safety"
"mobile social networks" -- "wireless networks"
"mobile robotics" -- "computer vision"
"perovskite solar cells" -- "quantum dot solar cells"
"perovskite solar cells" -- "solution processing"
"perovskite solar cells" -- "dye-sensitized solar cells"
"perovskite solar cells" -- "organic solar cells"
"conservation ecology" -- "landscape ecology"
"conservation ecology" -- "marsupials"
"meteoritics" -- "cosmochemistry"
"eyewitness testimony" -- "memory"
"occupant behaviour" -- "energy"
"floods" -- "hydrology"
"floods" -- "yield"
"floods" -- "dark tourism"
"assembly" -- "manufacturing systems"
"neuron-glia interactions" -- "neurodegenerative diseases"
"population balance modeling" -- "crystallisation"
"environmental impact assessment" -- "health impact assessment"
"cross-cultural communication" -- "international education"
"instructional technology" -- "instructional design"
"elastography" -- "ultrasound"
"cardiac tissue engineering" -- "biomaterials"
"soft sensor" -- "machine learning"
"mining" -- "rock mechanics"
"eeg" -- "bci"
"eeg" -- "neurofeedback"
"eeg" -- "meg"
"eeg" -- "neural dynamics"
"eeg" -- "emg"
"eeg" -- "erp"
"eeg" -- "brain oscillations"
"eeg" -- "fmri"
"mas" -- "robust adaptive control"
"ovarian cancer" -- "gynecologic oncology"
"ovarian cancer" -- "endometrial cancer"
"ovarian cancer" -- "breast cancer"
"enzyme kinetics" -- "allostery"
"enzyme kinetics" -- "molecular biology"
"enzyme kinetics" -- "rational drug design"
"biomecânica" -- "anatomia"
"sociological theory" -- "political sociology"
"freedom of speech" -- "privacy"
"corruption" -- "quality of government"
"corruption" -- "political economy"
"description logics" -- "knowledge representation"
"voltammetry" -- "chromatography"
"non-invasive brain stimulation" -- "neuroscience"
"cav" -- "acoustics"
"vehicular ad hoc networks" -- "wireless sensor networks"
"social psychology" -- "environmental psychology"
"social psychology" -- "psychology"
"social psychology" -- "psychology of religion"
"social psychology" -- "social norms"
"social psychology" -- "stereotype threat"
"social psychology" -- "positive psychology"
"social psychology" -- "social neuroscience"
"social psychology" -- "environmental behavior"
"social psychology" -- "sociology of childhood"
"social psychology" -- "self-knowledge"
"social psychology" -- "attitudes"
"social psychology" -- "social perception"
"social psychology" -- "health psychology"
"social psychology" -- "intergroup relations"
"social psychology" -- "community psychology"
"social psychology" -- "quantitative research methods"
"social psychology" -- "nonverbal behavior"
"social psychology" -- "mathematical sociology"
"social psychology" -- "morality"
"social psychology" -- "romantic relationships"
"social psychology" -- "prejudice"
"social psychology" -- "close relationships"
"social psychology" -- "cultural psychology"
"social psychology" -- "social cognition"
"social psychology" -- "quantitative methods"
"social psychology" -- "gender roles"
"social psychology" -- "social identity"
"social psychology" -- "cross-cultural psychology"
"social psychology" -- "sociology of emotions"
"social psychology" -- "personality"
"social psychology" -- "evolutionary psychology"
"social psychology" -- "affective science"
"communication networks" -- "information theory"
"sexualidad" -- "género"
"language policy" -- "sociolinguistics"
"language policy" -- "language ideologies"
"cultural theory" -- "cultural studies"
"sport management" -- "sports law"
"sport management" -- "sport finance"
"sport management" -- "sports history"
"sport management" -- "sport communication"
"sport management" -- "sport for development"
"sport management" -- "sport events"
"sport management" -- "sport marketing"
"tectonophysics" -- "seismology"
"modern human origins" -- "paleoanthropology"
"chimie organique" -- "heterocycles"
"tesol" -- "esl"
"tesol" -- "tefl"
"tesol" -- "elt"
"tesol" -- "applied linguistics"
"embedded computing" -- "optimization"
"biotic" -- "abiotic stress"
"ecologia" -- "zoologia"
"ecologia" -- "biologia da conservação"
"ecologia" -- "biodiversidad"
"ecologia" -- "ecotoxicologia"
"ecologia" -- "ambiente"
"impact" -- "blast"
"impact" -- "crashworthiness"
"impact" -- "high strain rate"
"elasticity" -- "fracture mechanics"
"didactics" -- "science education"
"video modeling" -- "autism"
"architecture" -- "sculpture"
"architecture" -- "building engineering"
"architecture" -- "design computing"
"architecture" -- "art"
"architecture" -- "design"
"architecture" -- "drawing"
"architecture" -- "historic preservation"
"architecture" -- "architectural design"
"architecture" -- "landscape architecture"
"architecture" -- "history of architecture"
"architecture" -- "interior design"
"architecture" -- "lighting"
"architecture" -- "computational design"
"architecture" -- "history of art"
"architecture" -- "urban history"
"architecture" -- "architectural history"
"architecture" -- "space"
"architecture" -- "sustainable design"
"architecture" -- "urban design"
"architecture" -- "space syntax"
"architecture" -- "urban"
"architecture" -- "parametric design"
"architecture" -- "architectural theory"
"clinical engineering" -- "signal processing"
"latin american" -- "caribbean studies"
"indoor air quality" -- "ventilation"
"indoor air quality" -- "exposure assessment"
"indoor air quality" -- "voc"
"indoor air quality" -- "indoor environment"
"indoor air quality" -- "human exposure"
"indoor air quality" -- "building science"
"transcription factors" -- "gene regulation"
"food processing" -- "food engineering"
"supply management" -- "purchasing"
"image segmentation" -- "machine learning"
"health service delivery" -- "home care"
"heidegger" -- "phenomenology"
"metafísica" -- "filosofía"
"cardiothoracic surgery" -- "general surgery"
"sparql" -- "rdf"
"etiology" -- "prevention"
"neotectonics" -- "structural geology"
"ice" -- "water"
"gene regulation" -- "translational regulation"
"gene regulation" -- "genomics"
"gene regulation" -- "muscle disease"
"gene regulation" -- "nuclear organization"
"gene regulation" -- "rna processing"
"gene regulation" -- "gene transcription"
"british history" -- "military history"
"skeletal muscle physiology" -- "exercise physiology"
"mangroves" -- "coastal wetlands"
"mangroves" -- "ecology"
"nutrient recovery" -- "wastewater treatment"
"art" -- "música"
"art" -- "physical computing"
"art" -- "fine art"
"art" -- "cultura visual"
"art" -- "literatura"
"art" -- "educação"
"art" -- "luxury"
"falls" -- "aging"
"dynamic optimization" -- "optimization"
"water reuse" -- "wastewater treatment"
"water governance" -- "environmental governance"
"second language education" -- "phonetics"
"queueing theory" -- "applied probability"
"library management" -- "information literacy"
"theranostics" -- "nanomedicine"
"ethnohistory" -- "archaeology"
"herpetologia" -- "taxonomia"
"transdisciplinarity" -- "public policy"
"clean technology" -- "entrepreneurship"
"enterprise information systems" -- "construction"
"plant abiotic stress" -- "mineral nutrition"
"plant abiotic stress" -- "plant biology"
"social dynamics" -- "social networks"
"historical thinking" -- "history of education"
"historical thinking" -- "historical consciousness"
"ciencias sociales" -- "educación"
"ciencias sociales" -- "humanidades"
"rf photonics" -- "silicon photonics"
"digital storytelling" -- "interaction design"
"molecular modeling" -- "computational chemistry"
"molecular modeling" -- "computer-aided drug design"
"optomechanics" -- "microresonators"
"detection" -- "estimation"
"detection" -- "distributed estimation"
"circumstellar disks" -- "planet formation"
"daylighting" -- "building performance simulation"
"daylighting" -- "lighting"
"daylighting" -- "architectural lighting"
"plasma science" -- "engineering"
"network resilience" -- "computer networks"
"ocular immunology" -- "ophthalmology"
"grief" -- "loss"
"grief" -- "trauma"
"multiple sclerosis" -- "remyelination"
"multiple sclerosis" -- "neurology"
"radar signal processing" -- "waveform design"
"radar signal processing" -- "compressed sensing"
"student success" -- "higher education"
"lgbt issues" -- "mental health"
"infancia" -- "feminismo"
"economics of innovation" -- "industrial economics"
"economics of innovation" -- "entrepreneurship"
"numerical methods for partial differential" -- "finite element method"
"thermomechanical processing" -- "severe plastic deformation"
"entertainment computing" -- "human-computer interaction"
"family demography" -- "gender"
"conservatism" -- "narrative"
"civic education" -- "social studies education"
"model order reduction" -- "optimal control"
"lifelong learning" -- "adult education"
"japanese law" -- "legal translation"
"japanese law" -- "comparative law"
"functional morphology" -- "comparative biomechanics"
"functional morphology" -- "biomechanics"
"functional morphology" -- "ontogeny"
"global strategy" -- "international business"
"computational genomics" -- "bioinformatics"
"computational genomics" -- "paleogenomics"
"food technology" -- "food science"
"atomic molecular" -- "optical physics"
"biochimie" -- "biologie moléculaire"
"space syntax" -- "urban renewal"
"nanowires" -- "transparent electrodes"
"nanowires" -- "nanotechnology"
"salmonids" -- "fisheries"
"auditory" -- "neuroscience"
"cryo-em" -- "structural biology"
"geomorphometry" -- "geomorphology"
"dentistry" -- "pediatric dentistry"
"dentistry" -- "public health"
"dentistry" -- "periodontics"
"dentistry" -- "prosthodontics"
"dentistry" -- "orthodontics"
"dentistry" -- "oral medicine"
"dentistry" -- "oral surgery"
"dentistry" -- "endodontics"
"dentistry" -- "periodontology"
"leishmaniasis" -- "parasitology"
"system of systems" -- "software engineering"
"light signaling" -- "plant biology"
"independent component analysis" -- "neuroimaging"
"ters" -- "sers"
"carbon footprint" -- "life cycle assessment"
"nonlinear vibration" -- "structural dynamics"
"fisheries biology" -- "marine biology"
"ethnic politics" -- "racial"
"ethnic politics" -- "race"
"academic publishing" -- "open access"
"bioinspired materials" -- "biomaterials"
"cell physiology" -- "protein biochemistry"
"therapy" -- "cancer"
"cardiovascular medicine" -- "stem cell biology"
"international political sociology" -- "critical security studies"
"power generation" -- "renewable energy"
"oocyte" -- "embryo"
"oocyte" -- "reproductive biology"
"forensic biology" -- "molecular biology"
"games user research" -- "human-computer interaction"
"biochar" -- "environmental science engineering"
"medical instrumentation" -- "biomedical engineering"
"2d semiconductors" -- "condensed matter physics"
"language development" -- "gesture"
"language development" -- "early literacy"
"language development" -- "evolution of language"
"language development" -- "child psychology"
"language development" -- "disorders"
"dimensionality reduction" -- "machine learning"
"large-scale optimization" -- "machine learning"
"protozoology" -- "parasitology"
"hydrophobicity" -- "water"
"aspirations" -- "poverty"
"microbiologie" -- "biologie moléculaire"
"microbiologie" -- "biochemie"
"wavelet transform" -- "signal processing"
"big data mining" -- "image retrieval"
"media streaming" -- "computer vision"
"power transmission" -- "biomedical ultrasound"
"cannabinoids" -- "neuroscience"
"algorithm development" -- "data analysis"
"rf coils" -- "mri"
"efficacy" -- "public health nutrition"
"debt contracting" -- "corporate governance"
"acoustofluidics" -- "microfluidics"
"assimilation" -- "ethnicity"
"electrophysiology" -- "neocortex"
"electrophysiology" -- "cardiology"
"electrophysiology" -- "neuroscience"
"energy management" -- "dynamic control"
"energy management" -- "renewable energy"
"spatial information" -- "geographic information science"
"secure systems" -- "privacy"
"cps" -- "embedded systems"
"pd" -- "pk"
"insect biotechnology" -- "insect molecular biology"
"insect biotechnology" -- "zoology"
"scienze della terra" -- "geologia"
"gambling" -- "addiction"
"paleontologia" -- "geologia"
"perinatal" -- "epidemiology"
"mycobacteriology" -- "drug resistance"
"marine robotics" -- "cooperative localization"
"neuropsychologie" -- "psychologie"
"human anatomy" -- "paleoanthropology"
"wireless networks" -- "vanet"
"wireless networks" -- "wireless mesh networks"
"wireless networks" -- "cognitive networks"
"wireless networks" -- "computer networks"
"wireless networks" -- "ad hoc networks"
"wireless networks" -- "802.11"
"wireless networks" -- "telecommunication networks"
"wireless networks" -- "network algorithms"
"wireless networks" -- "wireless security"
"wireless networks" -- "cognitive radio networks"
"wireless networks" -- "mobile computing"
"wireless networks" -- "sensor networks"
"wireless networks" -- "mac protocols"
"wireless networks" -- "mesh networks"
"wireless networks" -- "mobile systems"
"microtubules" -- "cell biology"
"microtubules" -- "cell wall"
"microtubules" -- "tau"
"drinking water treatment" -- "hydrogeology"
"computational physiology" -- "machine learning"
"computational physiology" -- "scientific software development"
"science technology studies" -- "innovation"
"energy conservation" -- "social networks"
"nursing administration" -- "leadership"
"academic librarianship" -- "information literacy"
"experimental condensed matter physics" -- "strongly correlated electron systems"
"seismic data processing" -- "inversion"
"clostridium difficile" -- "infectious diseases"
"polymer crystallization" -- "nucleation"
"primate cognition" -- "mental health"
"digital humanities" -- "book history"
"digital humanities" -- "caribbean studies"
"digital humanities" -- "media theory"
"digital humanities" -- "medieval studies"
"digital humanities" -- "english literature"
"digital humanities" -- "archival studies"
"digital humanities" -- "eighteenth-century literature"
"digital humanities" -- "social search"
"digital humanities" -- "shakespeare"
"digital humanities" -- "digital pedagogy"
"digital humanities" -- "digital scholarship"
"digital humanities" -- "digital collections"
"digital humanities" -- "storia dell&"
"digital humanities" -- "textual criticism"
"digital humanities" -- "software studies"
"digital humanities" -- "digital libraries"
"digital humanities" -- "classical philology"
"digital humanities" -- "electronic literature"
"waves" -- "fields"
"smart sensing" -- "structural health monitoring"
"behaviour analysis" -- "relational frame theory"
"model reduction" -- "uncertainty quantification"
"latino" -- "immigration"
"solidification" -- "metallurgy"
"solidification" -- "casting"
"empirical asset pricing" -- "empirical corporate finance"
"empirical asset pricing" -- "behavioral finance"
"art education" -- "teacher education"
"art education" -- "visual arts"
"art education" -- "museum education"
"teacher preparation" -- "mathematics education"
"cancer pharmacology" -- "drug discovery"
"resident education" -- "cataract surgery"
"reliable computing" -- "electronic design automation"
"ciência e tecnologia de alimentos" -- "engenharia de alimentos"
"mediterranean" -- "palynology"
"climate adaptation" -- "climate change"
"amorphous materials" -- "spectroscopy"
"li-o2 batteries" -- "materials science"
"biogeosciences" -- "remote sensing"
"humanitarian operations" -- "humanitarian logistics"
"educación infantil" -- "formación del profesorado"
"management of technology" -- "innovation"
"ocean" -- "climate"
"categorical data analysis" -- "survival analysis"
"larval biology" -- "evolution"
"mathematical economics" -- "game theory"
"thermal" -- "heat transfer"
"low power electronics" -- "embedded systems"
"energy research" -- "materials science"
"regulation of gene expression" -- "epigenetics"
"regulation of gene expression" -- "post-transcriptional regulation"
"bioacoustics" -- "animal behaviour"
"polarization" -- "optics"
"microbubbles" -- "ultrasound"
"transposable elements" -- "genomics"
"morality" -- "social hierarchy"
"debugging" -- "testing"
"pediatric emergency medicine" -- "global health"
"photoemission spectroscopy" -- "condensed matter physics"
"satisfiability" -- "artificial intelligence"
"mixed methods research" -- "public health"
"tensor decomposition" -- "data analytics"
"team processes" -- "teams"
"cvd" -- "thin films"
"digital sociology" -- "sociology"
"computer aided surgery" -- "computer aided diagnosis"
"power transformer" -- "optimization"
"soybean" -- "crop science"
"soybean" -- "ssr"
"chinese law" -- "international law"
"new" -- "emerging technologies"
"dna damage response" -- "dna repair"
"critical animal studies" -- "agriculture"
"dispute resolution" -- "contracts"
"host-parasite interactions" -- "insect immunity"
"host-parasite interactions" -- "infectious disease ecology"
"host-parasite interactions" -- "evolution"
"systems immunology" -- "bioinformatics"
"social systems" -- "complex systems"
"iii-nitrides" -- "laser diodes"
"iii-nitrides" -- "electron microscopy"
"concept mapping" -- "educational technology"
"lupus" -- "autoimmune diseases"
"lupus" -- "vasculitis"
"sensitivity" -- "uncertainty analysis"
"well stimulation" -- "artificial lift"
"dataflow" -- "parallel computing"
"biocultural anthropology" -- "evolutionary medicine"
"eddy covariance" -- "micrometeorology"
"icp-ms" -- "ms"
"physically-based simulation" -- "computer graphics"
"lifestyle" -- "nutrition"
"cyberbullying" -- "bullying"
"water resources management" -- "hydrology"
"water resources management" -- "water security"
"ataxia" -- "neuroscience"
"particle engineering" -- "pharmaceutical engineering"
"ornithology" -- "ecology"
"ornithology" -- "bird migration"
"microwave processing" -- "chemical engineering"
"carbon capture" -- "storage"
"carbon capture" -- "chemical looping combustion"
"colon" -- "surgery"
"gestão" -- "gestão da informação"
"chile" -- "linguistics"
"secularization" -- "religion"
"twins" -- "behavioral genetics"
"twins" -- "grain growth"
"biological psychiatry" -- "psychopharmacology"
"geometric group theory" -- "topology"
"child health" -- "maternal"
"child health" -- "epidemiology"
"corals" -- "ecology"
"literatura brasileira" -- "teoria literária"
"mark-recapture" -- "salmon ecology"
"magic" -- "medieval history"
"latin literature" -- "classics"
"computational em" -- "integrated optics"
"psicologia cognitiva" -- "neuropsicologia"
