"None 22065" -- "None 11230"
"nox subgroup 311" -- "Erwiniana sculpticollis group 257"
"None 76386" -- "None 76387"
"None 76386" -- "Coliadinae 12217"
"None 76386" -- "None 76396"
"Zorotypus palaeus 14677" -- "None 27789"
"Ploceidae 67301" -- "None 67284"
"None 70557" -- "None 70558"
"None 70557" -- "None 70556"
"Priogymnanthus 20942" -- "None 20936"
"Succinarthropterus schaufussi 27566" -- "Succinarthropterus 27555"
"Noctuoidea 12035" -- "Oenosandridae 12160"
"Noctuoidea 12035" -- "Macrolepidoptera 12024"
"Noctuoidea 12035" -- "quadrifid Noctuoidea 12164"
"Noctuoidea 12035" -- "None 12161"
"Pseudicius nepalicus 5504" -- "Old World 5464"
"Sooglossus sechellensis 17533" -- "None 17531"
"Sassacus trochilus 5718" -- "Sassacus 2910"
"Tischeria quercifolia 12007" -- "Tischeriidae 11869"
"None 14242" -- "Acroneuriinae 14278"
"None 14242" -- "Perlidae 13953"
"None 14242" -- "Perlinae 14243"
"Phidippus 2904" -- "Phidippus texanus 5267"
"Phidippus 2904" -- "Phidippus asotus 5241"
"Phidippus 2904" -- "Phidippus tux 5269"
"Phidippus 2904" -- "Phidippus whitmani 5271"
"Phidippus 2904" -- "Phidippus otiosus 5259"
"Phidippus 2904" -- "Phidippus insignarius 5254"
"Phidippus 2904" -- "Phidippus apacheanus 5238"
"Phidippus 2904" -- "Phidippus pius 5260"
"Phidippus 2904" -- "Phidippus cardinalis 5245"
"Phidippus 2904" -- "Phidippus carneus 5246"
"Phidippus 2904" -- "Phidippus nikites 5257"
"Phidippus 2904" -- "Phidippus putnami 5265"
"Phidippus 2904" -- "Phidippus regius 5266"
"Phidippus 2904" -- "None 2874"
"Phidippus 2904" -- "Phidippus pulcherrimus 5263"
"Phidippus 2904" -- "Phidippus carolinensis 5247"
"Phidippus 2904" -- "Phidippus georgii 5253"
"Phidippus 2904" -- "Phidippus albulatus 5237"
"Phidippus 2904" -- "Phidippus concinnus 5251"
"Phidippus 2904" -- "Phidippus clarus 5248"
"Phidippus 2904" -- "Phidippus purpuratus 5264"
"Phidippus 2904" -- "Phidippus californicus 5244"
"Phidippus 2904" -- "Phidippus audax 5242"
"Phidippus 2904" -- "Phidippus tyrrelli 5270"
"Phidippus 2904" -- "Phidippus coccineus 5249"
"Phidippus 2904" -- "Phidippus johnsoni 5255"
"Phidippus 2904" -- "Phidippus octopunctatus 5258"
"Phidippus 2904" -- "Phidippus cruentus 5252"
"Phidippus 2904" -- "Phidippus ardens 5239"
"Phidippus 2904" -- "Phidippus princeps 5261"
"Phidippus 2904" -- "Phidippus arizonensis 5240"
"Phidippus 2904" -- "Phidippus borealis 5243"
"Phidippus 2904" -- "Phidippus toro 5268"
"Phidippus 2904" -- "Phidippus comatus 5250"
"Phidippus 2904" -- "Phidippus pruinosus 5262"
"Phidippus 2904" -- "Phidippus mystaceus 5256"
"Nephanes flaviventris 9637" -- "Nephanes 9631"
"Salamandrella keyserlingii 65845" -- "None 68939"
"Myrmicocrypta ednaella 25534" -- "Myrmicocrypta 22497"
"Sthenopis auctt. nec Packard 1865 28413" -- "Sthenopis roseus 28417"
"Sthenopis auctt. nec Packard 1865 28413" -- "Sthenopis regius 28416"
"Sthenopis auctt. nec Packard 1865 28413" -- "Sthenopis dirschi 28415"
"Sthenopis auctt. nec Packard 1865 28413" -- "Sthenopis bouvieri 28414"
"Sthenopis auctt. nec Packard 1865 28413" -- "Hepialidae s. str. 11789"
"None 21068" -- "Resedaceae 21072"
"None 21068" -- "None 21063"
"None 21068" -- "Pentadiplandraceae 21071"
"None 21068" -- "Tovariaceae 21073"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) vioscai 7645"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) raneyi 7640"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) penni 7638"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) gibbus 7633"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) lylei 7635"
