"geomicrobiology" -- "biogeochemistry"
"mems" -- "nanomanufacturing"
"mems" -- "microsystems"
"mems" -- "nems"
"mems" -- "microfluidics"
"mems" -- "biomedical devices"
"paleoseismology" -- "structural geology"
"reverse engineering" -- "cad"
"history of architecture" -- "architecture"
"rehabilitation" -- "physiotherapy"
"rehabilitation" -- "physical therapy"
"rehabilitation" -- "occupational therapy"
"rehabilitation" -- "stroke"
"space" -- "architecture"
"food science" -- "nutrition"
"food science" -- "animal science"
"food science" -- "food technology"
"food science" -- "technology"
"food science" -- "meat science"
"food science" -- "food engineering"
"consciousness" -- "attention"
"civil" -- "environmental engineering"
"quantum groups" -- "noncommutative geometry"
"quantum groups" -- "representation theory"
"translation" -- "terminology"
"rna polymerase" -- "transcription"
"mammals" -- "conservation biology"
"vlsi design" -- "testing"
"vlsi design" -- "hardware security"
"international trade" -- "foreign direct investment"
"international trade" -- "fdi"
"international trade" -- "industrial organization"
"international trade" -- "trade policy"
"wastewater" -- "water"
"implementation" -- "dissemination"
"foundations of physics" -- "philosophy of science"
"paleontology" -- "paleoecology"
"paleontology" -- "stratigraphy"
"paleontology" -- "paleobiology"
"paleontology" -- "extinction"
"nonlinear dynamics" -- "chaos"
"child welfare" -- "juvenile justice"
"child welfare" -- "child maltreatment"
"mineral processing" -- "flotation"
"online learning" -- "distance education"
"online learning" -- "moocs"
"practical reason" -- "ethics"
"cell signaling" -- "cancer"
"biomedical optics" -- "biophotonics"
"clustering" -- "data mining"
"clustering" -- "classification"
"turbulence" -- "fluid dynamics"
"turbulence" -- "boundary layer"
"turbulence" -- "fluid mechanics"
"turbulence" -- "direct numerical simulation"
"handwriting recognition" -- "pattern recognition"
"computational aeroacoustics" -- "computational fluid dynamics"
"archaeology" -- "geoarchaeology"
"archaeology" -- "anthropology"
"archaeology" -- "rock art"
"archaeology" -- "landscape archaeology"
"archaeology" -- "neolithic"
"archaeology" -- "andes"
"archaeology" -- "ancient history"
"archaeology" -- "pottery"
"archaeology" -- "prehistory"
"archaeology" -- "heritage"
"archaeology" -- "mesoamerica"
"archaeology" -- "archaeological science"
"archaeology" -- "archaeometry"
"archaeology" -- "archaeological theory"
"archaeology" -- "egyptology"
"experimental fluid dynamics" -- "computational fluid dynamics"
"food microbiology" -- "probiotics"
"quaternary science" -- "geomorphology"
"quaternary science" -- "tephrochronology"
"language variation" -- "sociolinguistics"
"transportation planning" -- "transport economics"
"transportation planning" -- "traffic engineering"
"inorganic synthesis" -- "electrochemistry"
"path planning" -- "crowd simulation"
"path planning" -- "motion planning"
"palaeoecology" -- "palaeoclimatology"
"palaeoecology" -- "palaeontology"
"palaeoecology" -- "peatlands"
"palaeoecology" -- "palaeoclimate"
"palaeoecology" -- "pollen analysis"
"trade" -- "development"
"social media" -- "emergency management"
"social media" -- "facebook"
"social media" -- "internet studies"
"social media" -- "blogs"
"social media" -- "public relations"
"social media" -- "twitter"
"social media" -- "journalism"
"electrowetting" -- "microfluidics"
"forest inventory" -- "remote sensing"
"health economics" -- "labor economics"
"health economics" -- "health policy"
"health economics" -- "outcomes research"
"health economics" -- "cost-effectiveness"
"health economics" -- "health technology assessment"
"migration" -- "gender"
"migration" -- "citizenship"
"migration" -- "refugees"
"migration" -- "labour market"
"migration" -- "transnationalism"
"migration" -- "labour"
"migration" -- "population geography"
"migration" -- "turkey"
"migration" -- "multiculturalism"
"migration" -- "integration"
"brain-machine interfaces" -- "neural engineering"
"brain-machine interfaces" -- "neuroengineering"
"biosensors" -- "electrochemical sensors"
"biosensors" -- "microfluidics"
"biosensors" -- "nanobiotechnology"
"biosensors" -- "biofuel cells"
"biosensors" -- "aptamers"
"monetary theory" -- "macroeconomics"
"spect" -- "pet"
"precipitation" -- "cloud"
"organizational economics" -- "contract theory"
"dye-sensitized solar cells" -- "perovskite solar cells"
"stem cell therapy" -- "tissue engineering"
"modeling" -- "simulation"
"b cells" -- "immunology"
"ecotoxicology" -- "ecological risk assessment"
"ecotoxicology" -- "environmental toxicology"
"ecotoxicology" -- "environmental chemistry"
"regional economics" -- "urban"
"regional economics" -- "spatial econometrics"
"nuclear medicine" -- "medical physics"
"nuclear medicine" -- "pet"
"nuclear medicine" -- "radiology"
"tribology" -- "friction"
"tribology" -- "wear"
"tribology" -- "tribocorrosion"
"tribology" -- "lubrication"
"reverse logistics" -- "supply chain management"
"computational mechanics" -- "structural mechanics"
"computational mechanics" -- "isogeometric analysis"
"computational mechanics" -- "xfem"
"computational mechanics" -- "meshfree methods"
"computational mechanics" -- "finite element method"
"computational mechanics" -- "constitutive modeling"
"computational mechanics" -- "fracture mechanics"
"computational mechanics" -- "numerical methods"
"computational mechanics" -- "structural optimization"
"hpc" -- "gpgpu"
"international entrepreneurship" -- "international business"
"electrochemistry" -- "electrocatalysis"
"electrochemistry" -- "corrosion science"
"electrochemistry" -- "nanomaterials"
"electrochemistry" -- "batteries"
"electrochemistry" -- "modified electrodes"
"human rights law" -- "international law"
"mitochondria" -- "oxidative stress"
"mitochondria" -- "calcium"
"mitochondria" -- "metabolism"
"plant reproduction" -- "evolutionary ecology"
"hydraulic engineering" -- "coastal engineering"
"wave propagation" -- "structural dynamics"
"social stratification" -- "life course"
"autonomic computing" -- "cloud computing"
"adolescence" -- "prevention"
"adolescence" -- "children"
"adolescence" -- "emerging adulthood"
"adolescence" -- "young adults"
"photovoltaic systems" -- "power electronics"
"agents" -- "multi-agent systems"
"mechanics of materials" -- "multifunctional materials"
"mechanics of materials" -- "solid mechanics"
"trust management" -- "security"
"cell mechanics" -- "physics of cancer"
"cell mechanics" -- "mechanotransduction"
"political sociology" -- "economic sociology"
"political sociology" -- "cultural sociology"
"political sociology" -- "social movements"
"language learning" -- "applied linguistics"
"glaciers" -- "climate"
"glaciers" -- "ice sheets"
"plant genomics" -- "plant genetics"
"phononic crystals" -- "metamaterials"
"molecular simulation" -- "nucleation"
"molecular simulation" -- "statistical mechanics"
"orthopaedics" -- "biomechanics"
"orthopaedics" -- "musculoskeletal"
"orthopaedics" -- "spine"
"theoretical physics" -- "particle physics"
"theoretical physics" -- "ultracold quantum gases"
"information science" -- "information behavior"
"information science" -- "bibliometrics"
"information science" -- "library"
"information science" -- "librarianship"
"pediatric hematology" -- "oncology"
"breast cancer" -- "cancer stem cells"
"breast cancer" -- "endocrine resistance"
"breast cancer" -- "metastasis"
"management accounting" -- "management control"
"management accounting" -- "performance measurement"
"spin dynamics" -- "magnetism"
"desalination" -- "wastewater treatment"
"desalination" -- "water treatment"
"desalination" -- "membranes"
"desalination" -- "membrane separation"
"radiation dosimetry" -- "medical physics"
"disorders" -- "language development"
"quality of service" -- "computer networks"
"quality of service" -- "quality of experience"
"bioacoustics" -- "animal communication"
"bioacoustics" -- "marine mammals"
"geoarchaeology" -- "geomorphology"
"geoarchaeology" -- "environmental archaeology"
"international security" -- "international relations theory"
"international security" -- "international conflict"
"international security" -- "international relations"
"ethics" -- "comparative philosophy"
"ethics" -- "bioethics"
"ethics" -- "political philosophy"
"ethics" -- "philosophy"
"chronic illness" -- "health psychology"
"organic photovoltaics" -- "ultrafast spectroscopy"
"organic photovoltaics" -- "organic electronics"
"organic photovoltaics" -- "perovskite solar cells"
"programming languages" -- "formal methods"
"programming languages" -- "functional programming"
"programming languages" -- "compilers"
"programming languages" -- "static analysis"
"programming languages" -- "type systems"
"programming languages" -- "software systems"
"programming languages" -- "program analysis"
"probability theory" -- "financial mathematics"
"probability theory" -- "stochastic processes"
"probability theory" -- "mathematical finance"
"colloid science" -- "soft matter"
"tropical ecology" -- "conservation biology"
"marine geology" -- "paleoceanography"
"marine geology" -- "sedimentology"
"vegetation ecology" -- "biodiversity"
"solid state chemistry" -- "crystallography"
"symptom management" -- "pain"
"quantum field theory" -- "string theory"
"x-ray diffraction" -- "crystallography"
"fluid flow" -- "heat transfer"
"ontologies" -- "knowledge representation"
"sales" -- "marketing strategy"
"sales" -- "sales management"
"geometric group theory" -- "topology"
"creep" -- "superplasticity"
"creep" -- "fatigue"
"chinese economy" -- "development economics"
"digital human modeling" -- "ergonomics"
"regional planning" -- "urban"
"environmental" -- "resource economics"
"mixed-signal integrated circuits" -- "analog"
"non-communicable diseases" -- "global health"
"neuromorphic engineering" -- "computational neuroscience"
"psychiatric epidemiology" -- "mental health"
"semantics" -- "syntax"
"theoretical computer science" -- "discrete mathematics"
"narrative" -- "storytelling"
"narrative" -- "identity"
"flow cytometry" -- "immunology"
"cloud computing" -- "big data"
"cloud computing" -- "performance engineering"
"cloud computing" -- "soa"
"cloud computing" -- "workflow management"
"cloud computing" -- "distributed computing"
"cloud computing" -- "virtualization"
"cloud computing" -- "service computing"
"cloud computing" -- "cloud storage"
"gastroenterology" -- "inflammatory bowel disease"
"gastroenterology" -- "internal medicine"
"gastroenterology" -- "hepatology"
"gastroenterology" -- "endoscopy"
"health promotion" -- "physical activity"
"health promotion" -- "tobacco control"
"health promotion" -- "public health"
"health promotion" -- "health education"
"laboratory medicine" -- "clinical chemistry"
"sports engineering" -- "biomechanics"
"glass transition" -- "soft matter"
"moocs" -- "learning analytics"
"communication" -- "media"
"communication" -- "signal processing"
"child health" -- "paediatrics"
"child health" -- "maternal"
"wind engineering" -- "structural dynamics"
"fluvial geomorphology" -- "sediment transport"
"text mining" -- "natural language processing"
"text mining" -- "data"
"hypertension" -- "diabetes"
"hypertension" -- "chronic kidney disease"
"hypertension" -- "kidney disease"
"portfolio management" -- "investments"
"atmospheric physics" -- "cloud physics"
"granular flow" -- "multiphase flow"
"schizophrenia" -- "bipolar disorder"
"thermal engineering" -- "cfd"
"neurocritical care" -- "stroke"
"brain networks" -- "neuroimaging"
"business" -- "management"
"participation" -- "governance"
"cell" -- "tissue mechanics"
"cell" -- "molecular biology"
"climate dynamics" -- "physical oceanography"
"climate dynamics" -- "atmospheric dynamics"
"climate dynamics" -- "climate modeling"
"climate dynamics" -- "ocean-atmosphere interaction"
"climate dynamics" -- "climate variability"
"environmental nanotechnology" -- "environmental engineering"
"hygiene" -- "water"
"user modeling" -- "personality"
"genetic programming" -- "evolutionary computation"
"drug design" -- "cheminformatics"
"drug design" -- "molecular modeling"
"drug design" -- "virtual screening"
"drug design" -- "medicinal chemistry"
"device modeling" -- "simulation"
"bioprinting" -- "tissue engineering"
"integrated circuits" -- "rf"
"integrated circuits" -- "bioelectronics"
"integrated circuits" -- "cmos"
"integrated circuits" -- "rfic"
"organic chemistry" -- "polymer chemistry"
"organic chemistry" -- "carbohydrate chemistry"
"organic chemistry" -- "flow chemistry"
"organic chemistry" -- "medicinal chemistry"
"bridges" -- "concrete"
"statistical physics" -- "complex systems"
"statistical physics" -- "network theory"
"statistical physics" -- "biological physics"
"statistical physics" -- "anomalous diffusion"
"chemical engineering" -- "process design"
"chemical engineering" -- "catalysis"
"chemical engineering" -- "membrane science"
"chemical engineering" -- "particle technology"
"chemical engineering" -- "process intensification"
"soil fertility" -- "plant nutrition"
"information forensics" -- "security"
"geometry" -- "topology"
"information retrieval" -- "data mining"
"information retrieval" -- "search"
"information retrieval" -- "semantic search"
"information systems" -- "business process management"
"information systems" -- "enterprise systems"
"information systems" -- "electronic commerce"
"information systems" -- "e-business"
"information systems" -- "knowledge management"
"hci" -- "ictd"
"hci" -- "cscw"
"hci" -- "hri"
"hci" -- "vr"
"r d" -- "innovation"
"flexible electronics" -- "printed electronics"
"flexible electronics" -- "stretchable electronics"
"dielectrophoresis" -- "microfluidics"
"thailand" -- "politics"
"thailand" -- "southeast asia"
"evolutionary game theory" -- "cooperation"
"high-level synthesis" -- "fpga"
"teaching" -- "learning"
"thermal physiology" -- "exercise physiology"
"sex" -- "gender"
"ecological psychology" -- "perception"
"popular culture" -- "literature"
"assistive technology" -- "alternative communication"
"assistive technology" -- "accessibility"
"network management" -- "computer networks"
"biosynthesis" -- "natural products"
"stochastic geometry" -- "wireless communications"
"pediatric surgery" -- "pediatric urology"
"traffic engineering" -- "traffic safety"
"nanoscale heat transfer" -- "thermoelectrics"
"energy harvesting" -- "piezoelectric"
"energy harvesting" -- "power management"
"ptsd" -- "trauma"
"ptsd" -- "anxiety"
"ptsd" -- "tbi"
"ptsd" -- "military"
"crowdfunding" -- "crowdsourcing"
"accessibility" -- "usability"
"aerosols" -- "cloud physics"
"aerosols" -- "atmospheric chemistry"
"aerosols" -- "cloud"
"aerosols" -- "radiation"
"prosocial behavior" -- "social cognition"
"dietary assessment" -- "nutrition"
"family communication" -- "interpersonal communication"
"iot" -- "m2m"
"pharmacogenomics" -- "pharmacogenetics"
"asteroids" -- "planetary science"
"asteroids" -- "comets"
"diplomacy" -- "international relations"
"reuse" -- "wastewater treatment"
"thz" -- "terahertz"
"photocatalyst" -- "nanomaterials"
"environmental economics" -- "non-market valuation"
"environmental economics" -- "energy economics"
"environmental economics" -- "agricultural economics"
"environmental economics" -- "water economics"
"environmental economics" -- "resource economics"
"environmental economics" -- "ecological economics"
"industrial ecology" -- "life cycle assessment"
"industrial ecology" -- "ecological economics"
"digital geometry processing" -- "computer graphics"
"foresight" -- "innovation"
"disturbance ecology" -- "forest ecology"
"epistemology" -- "metaphysics"
"fpgas" -- "reconfigurable computing"
"ophthalmology" -- "optometry"
"ophthalmology" -- "visual science"
"ophthalmology" -- "retina"
"ophthalmology" -- "cornea"
"family firms" -- "family business"
"innate immunity" -- "macrophages"
"innate immunity" -- "host-pathogen interactions"
"innate immunity" -- "inflammation"
"evolutionary computation" -- "artificial intelligence"
"evolutionary computation" -- "swarm intelligence"
"evolutionary computation" -- "multi-objective optimization"
"evolutionary computation" -- "computational intelligence"
"school counseling" -- "counselor education"
"protein dynamics" -- "protein folding"
"pharmaceutics" -- "drug delivery"
"speech technology" -- "speech synthesis"
"judgment" -- "decision making"
"law" -- "economics"
"law" -- "courts"
"law" -- "legal education"
"sustainability" -- "life cycle assessment"
"sustainability" -- "corporate responsibility"
"electromyography" -- "motor control"
"science of science" -- "complex systems"
"status" -- "power"
"obesidade" -- "diabetes"
"obesidade" -- "nutrición"
"open data" -- "e-government"
"virtual machines" -- "compilers"
"cardiovascular imaging" -- "cardiology"
"bereavement" -- "grief"
"thermal comfort" -- "energy efficiency"
"thermal comfort" -- "building energy efficiency"
"organocatalysis" -- "organic synthesis"
"composite materials" -- "fracture mechanics"
"composite materials" -- "stress analysis"
"mechanobiology" -- "biomechanics"
"mechanobiology" -- "tissue engineering"
"coastal oceanography" -- "physical oceanography"
"rheology" -- "polymer blends"
"rheology" -- "complex fluids"
"rheology" -- "suspensions"
"rheology" -- "colloids"
"rheology" -- "polymer processing"
"stylistics" -- "discourse analysis"
"supramolecular chemistry" -- "crystal engineering"
"supramolecular chemistry" -- "molecular machines"
"supramolecular chemistry" -- "coordination chemistry"
"mergers" -- "capital structure"
"mergers" -- "corporate governance"
"network protocols" -- "wireless sensor networks"
"technology enhanced learning" -- "learning analytics"
"technology enhanced learning" -- "cscl"
"special education" -- "inclusive education"
"special education" -- "applied behavior analysis"
"special education" -- "learning disabilities"
"special education" -- "inclusion"
"semiconductor lasers" -- "optoelectronics"
"pregnancy" -- "childbirth"
"condensed matter theory" -- "strongly correlated systems"
"ontology learning" -- "semantic web"
"film studies" -- "film theory"
"film studies" -- "media studies"
"business cycles" -- "macroeconomics"
"cancer" -- "microrna"
"cancer" -- "angiogenesis"
"cancer" -- "metastasis"
"cancer" -- "epigenetics"
"cancer" -- "biomarkers"
"cancer" -- "hypoxia"
"cancer" -- "screening"
"cancer" -- "breast"
"cancer" -- "stem cells"
"classics" -- "ancient history"
"statistical signal processing" -- "information theory"
"statistical signal processing" -- "estimation theory"
"ehealth" -- "telemedicine"
"ehealth" -- "health informatics"
"ehealth" -- "mhealth"
"institutional theory" -- "organization theory"
"biomarkers" -- "translational research"
"statistical relational learning" -- "machine learning"
"synthetic organic chemistry" -- "medicinal chemistry"
"aids" -- "hiv"
"aids" -- "medical anthropology"
"protein chemistry" -- "enzymology"
"microwave circuits" -- "antennas"
"sexual conflict" -- "sexual selection"
"vascular" -- "tissue engineering"
"water treatment" -- "disinfection"
"water treatment" -- "water chemistry"
"water treatment" -- "membrane filtration"
"carbohydrate chemistry" -- "glycobiology"
"technology entrepreneurship" -- "innovation"
"andrology" -- "urology"
"latent variable models" -- "psychometrics"
"spine" -- "neurosurgery"
"methamphetamine" -- "addiction"
"luminescence" -- "lanthanides"
"luminescence" -- "spectroscopy"
"cycling" -- "transportation"
"multiple criteria decision making" -- "operations research"
"mixed signal design" -- "analog"
"fire engineering" -- "structural engineering"
"phylogeography" -- "systematics"
"social neuroscience" -- "theory of mind"
"social neuroscience" -- "affective neuroscience"
"social neuroscience" -- "oxytocin"
"earthquake engineering" -- "reinforced concrete"
"earthquake engineering" -- "seismic design"
"earthquake engineering" -- "performance-based design"
"earthquake engineering" -- "structural reliability"
"earthquake engineering" -- "structural dynamics"
"earthquake engineering" -- "engineering seismology"
"earthquake engineering" -- "masonry structures"
"earthquake engineering" -- "structural engineering"
"inflammation" -- "cytokines"
"inflammation" -- "fibrosis"
"dynamical systems" -- "differential equations"
"dynamical systems" -- "chaos"
"dynamical systems" -- "ordinary differential equations"
"dynamical systems" -- "celestial mechanics"
"dynamical systems" -- "hamiltonian systems"
"dynamical systems" -- "fractal geometry"
"dynamical systems" -- "ergodic theory"
"reliability" -- "fault tolerance"
"social network analysis" -- "community detection"
"social network analysis" -- "data mining"
"neuroethology" -- "neurobiology"
"neuroethology" -- "sensory biology"
"neuroethology" -- "animal behavior"
"cognitive modeling" -- "decision making"
"electron transfer" -- "photosynthesis"
"biopolymers" -- "cellulose"
"human geography" -- "political ecology"
"human geography" -- "urban studies"
"human geography" -- "cultural geography"
"radiation therapy" -- "medical physics"
"radiation therapy" -- "dosimetry"
"economics" -- "econometrics"
"anaerobic digestion" -- "wastewater treatment"
"anaerobic digestion" -- "biogas"
"combinatorics on words" -- "formal languages"
"medical image analysis" -- "segmentation"
"medical image analysis" -- "computer vision"
"medical image analysis" -- "image registration"
"fisheries science" -- "fish ecology"
"stm" -- "afm"
"stm" -- "surface science"
"philosophy of science" -- "history"
"philosophy of science" -- "history of science"
"philosophy of science" -- "metaphysics"
"philosophy of science" -- "philosophy of biology"
"global health" -- "maternal health"
"global health" -- "health systems"
"reputation management" -- "public relations"
"energy storage" -- "batteries"
"energy storage" -- "conversion"
"econophysics" -- "complex systems"
"csear" -- "social"
"cultural studies" -- "visual studies"
"cultural studies" -- "postcolonial studies"
"cultural studies" -- "performance studies"
"cultural studies" -- "media studies"
"cultural studies" -- "gender studies"
"cultural studies" -- "comparative literature"
"discrete geometry" -- "combinatorics"
"psychological anthropology" -- "medical anthropology"
"meta-analysis" -- "research synthesis"
"meta-analysis" -- "systematic reviews"
"lean construction" -- "construction management"
"lean construction" -- "construction"
"sexual behavior" -- "hiv"
"bladder cancer" -- "urologic oncology"
"glycomics" -- "mass spectrometry"
"european union law" -- "international law"
"collaboration" -- "cscw"
"spatial analysis" -- "gis"
"lattice qcd" -- "nuclear physics"
"lipid membranes" -- "biophysics"
"financial history" -- "economic history"
"transcription factors" -- "gene regulation"
"applied microbiology" -- "biotechnology"
"chromatin biology" -- "epigenetics"
"physical anthropology" -- "bioarchaeology"
"insurance" -- "actuarial science"
"insurance" -- "risk management"
"visual attention" -- "visual search"
"visual attention" -- "eye movements"
"physiology" -- "pharmacology"
"cellulose" -- "lignin"
"haptics" -- "robotics"
"haptics" -- "teleoperation"
"haptics" -- "rehabilitation robotics"
"haptics" -- "surgical robotics"
"design theory" -- "methodology"
"architectural theory" -- "architecture"
"architectural theory" -- "architectural history"
"network security" -- "computational"
"network security" -- "cyber security"
"network security" -- "intrusion detection"
"network security" -- "privacy"
"protein folding" -- "intrinsically disordered proteins"
"protein folding" -- "protein misfolding"
"protein folding" -- "misfolding"
"animal communication" -- "social insects"
"animal communication" -- "animal behavior"
"groundwater" -- "hydrogeology"
"human genomics" -- "population genetics"
"e-participation" -- "e-government"
"soil" -- "nitrogen"
"soil" -- "groundwater remediation"
"linked data" -- "semantic web"
"linked data" -- "rdf"
"linked data" -- "web science"
"mesoscale meteorology" -- "data assimilation"
"mesoscale meteorology" -- "numerical weather prediction"
"electricity markets" -- "power system operation"
"electricity markets" -- "demand response"
"power system planning" -- "power system operation"
"quantitative genetics" -- "animal breeding"
"peace" -- "war"
"peace" -- "conflict"
"plant-microbe interactions" -- "plant pathology"
"computational economics" -- "macroeconomics"
"elections" -- "political parties"
"elections" -- "congress"
"elections" -- "parties"
"elections" -- "political science"
"ceramics" -- "glass"
"ceramics" -- "mechanical properties"
"multimodality" -- "discourse analysis"
"software quality" -- "software evolution"
"clinical microbiology" -- "antibiotic resistance"
"drug resistance" -- "tuberculosis"
"drug resistance" -- "malaria"
"lncrna" -- "epigenetics"
"periodismo" -- "comunicación política"
"periodismo" -- "journalism"
"periodismo" -- "redes sociales"
"periodismo" -- "comunicación"
"periodismo" -- "comunicación audiovisual"
"medical education" -- "clinical reasoning"
"medical education" -- "emergency medicine"
"medical education" -- "health professions education"
"item response theory" -- "psychometrics"
"herbivory" -- "ecology"
"governance" -- "public administration"
"governance" -- "nonprofits"
"interfacial phenomena" -- "colloids"
"dialysis" -- "nephrology"
"magnonics" -- "spin waves"
"magnonics" -- "spintronics"
"combinatorial optimization" -- "operations research"
"combinatorial optimization" -- "approximation algorithms"
"combinatorial optimization" -- "integer programming"
"combinatorial optimization" -- "metaheuristics"
"second language learning" -- "bilingualism"
"workplace bullying" -- "leadership"
"cryogenics" -- "heat transfer"
"3d user interfaces" -- "virtual reality"
"soa" -- "web services"
"behavioral pharmacology" -- "addiction"
"intersectionality" -- "gender"
"instruction" -- "information literacy"
"instruction" -- "curriculum"
"cscw" -- "cscl"
"resource allocation" -- "wireless communications"
"discrimination" -- "prejudice"
"psychoneuroendocrinology" -- "stress"
"health geography" -- "giscience"
"cognitive radio" -- "wireless communications"
"cognitive radio" -- "software defined radio"
"cognitive radio" -- "dynamic spectrum access"
"text summarization" -- "natural language processing"
"turbulence modeling" -- "computational fluid dynamics"
"silviculture" -- "forest ecology"
"silviculture" -- "forestry"
"silviculture" -- "forest management"
"silviculture" -- "stand dynamics"
"gis" -- "spatial databases"
"gis" -- "vgi"
"gis" -- "geography"
"gis" -- "remote sensing"
"gis" -- "cartography"
"gis" -- "sdi"
"water supply" -- "sanitation"
"mass transfer" -- "heat"
"inclusive education" -- "disability"
"photodynamic therapy" -- "drug delivery"
"statistical genetics" -- "psychiatric genetics"
"statistical genetics" -- "population genetics"
"statistical genetics" -- "genetic epidemiology"
"financial economics" -- "macroeconomics"
"fluid power" -- "control"
"solid mechanics" -- "soft materials"
"solid mechanics" -- "fracture mechanics"
"solid mechanics" -- "nanomechanics"
"solid mechanics" -- "experimental mechanics"
"philosophy" -- "metaphysics"
"philosophy" -- "literature"
"reconstructive surgery" -- "microsurgery"
"reconstructive surgery" -- "plasticity"
"obesity" -- "eating disorders"
"obesity" -- "metabolic syndrome"
"obesity" -- "diabetes"
"obesity" -- "feeding"
"obesity" -- "type 2 diabetes"
"obesity" -- "nutrition"
"obesity" -- "physical activity"
"obesity" -- "nutritional epidemiology"
"obesity" -- "adipose tissue"
"obesity" -- "metabolic disease"
"obesity" -- "energy metabolism"
"hydrogen storage" -- "catalysis"
"nuclear astrophysics" -- "nuclear structure"
"nuclear astrophysics" -- "nuclear physics"
"argumentation" -- "rhetoric"
"reduced order modeling" -- "computational fluid dynamics"
"urban computing" -- "human mobility"
"colloids" -- "emulsions"
"colloids" -- "soft matter"
"colloids" -- "surface chemistry"
"colloids" -- "interface science"
"colloids" -- "soft condensed matter"
"colloids" -- "interfacial science"
"colloids" -- "polymers"
"medical ethics" -- "history of medicine"
"dark matter" -- "neutrinos"
"economic growth" -- "macroeconomics"
"economic growth" -- "human capital"
"economic growth" -- "economic development"
"economic growth" -- "economic history"
"historia" -- "arqueología"
"historia" -- "educación"
"ion channels" -- "arrhythmia"
"ion channels" -- "electrophysiology"
"ion channels" -- "calcium signaling"
"program transformation" -- "functional programming"
"aeroelasticity" -- "structural dynamics"
"geoengineering" -- "climate change"
"natural language processing" -- "artificial intelligence"
"natural language processing" -- "sentiment analysis"
"natural language processing" -- "information extraction"
"natural language processing" -- "machine translation"
"natural language processing" -- "language modeling"
"natural language processing" -- "word sense disambiguation"
"natural language processing" -- "bionlp"
"plant molecular biology" -- "abiotic stress"
"plant molecular biology" -- "plant development"
"international finance" -- "asset pricing"
"international finance" -- "macroeconomics"
"mathematical software" -- "numerical linear algebra"
"genome evolution" -- "transposable elements"
"genome evolution" -- "comparative genomics"
"droplets" -- "microfluidics"
"enso" -- "climate change"
"didáctica de las ciencias experimentales" -- "science education"
"cardiomyopathy" -- "heart failure"
"health informatics" -- "biomedical"
"performance evaluation" -- "queueing theory"
"human mobility" -- "complex networks"
"regional science" -- "spatial econometrics"
"behavioural ecology" -- "cooperative breeding"
"behavioural ecology" -- "animal behaviour"
"behavioural ecology" -- "evolutionary ecology"
"behavioural ecology" -- "sexual selection"
"behavioural ecology" -- "sensory ecology"
"electrocatalysis" -- "photocatalysis"
"social history" -- "economic history"
"coding" -- "information theory"
"m2m" -- "lte"
"dental implants" -- "prosthodontics"
"online social networks" -- "privacy"
"computational materials science" -- "first-principles calculations"
"computational materials science" -- "density functional theory"
"plant nutrition" -- "plant physiology"
"immunotherapy" -- "tumor immunology"
"crop science" -- "agronomy"
"intellectual property" -- "antitrust"
"intellectual property" -- "patent law"
"intellectual property" -- "patents"
"automation" -- "robotics"
"cartography" -- "mapping"
"cartography" -- "geoinformatics"
"poverty" -- "inequality"
"poverty" -- "family policy"
"poverty" -- "welfare"
"amo" -- "quantum optics"
"sea level" -- "climate"
"cyber-physical systems" -- "hybrid systems"
"cyber-physical systems" -- "real-time systems"
"aquatic ecology" -- "food webs"
"neuroethics" -- "bioethics"
"corporate law" -- "securities regulation"
"corporate law" -- "corporate governance"
"landslides" -- "natural hazards"
"landslides" -- "engineering geology"
"high performance computing" -- "parallel i"
"high performance computing" -- "energy efficient computing"
"high performance computing" -- "parallel computing"
"high performance computing" -- "gpgpu"
"high performance computing" -- "parallel algorithms"
"earth sciences" -- "geology"
"cyberbullying" -- "bullying"
"forestry" -- "agroforestry"
"precision agriculture" -- "remote sensing"
"organization studies" -- "management"
"hemt" -- "gan"
"mechatronics" -- "robotics"
"mechatronics" -- "control"
"metallurgy" -- "materials science"
"metallurgy" -- "steel"
"infant feeding" -- "breastfeeding"
"animal behaviour" -- "animal welfare"
"psychopathy" -- "forensic psychology"
"psychopathy" -- "personality disorders"
"particle technology" -- "granulation"
"environmental engineering" -- "wastewater treatment"
"environmental engineering" -- "aquatic chemistry"
"environmental engineering" -- "environmental microbiology"
"formal methods" -- "concurrency theory"
"formal methods" -- "petri nets"
"formal methods" -- "refinement"
"formal methods" -- "software engineering"
"formal methods" -- "program verification"
"formal methods" -- "model checking"
"queer theory" -- "gender studies"
"language" -- "speech"
"language" -- "literacy"
"language" -- "metaphor"
"language" -- "thought"
"language" -- "aphasia"
"language" -- "social interaction"
"robot perception" -- "computer vision"
"imaging spectroscopy" -- "remote sensing"
"self-harm" -- "suicide"
"optogenetics" -- "neuroengineering"
"jurisprudence" -- "constitutional law"
"music perception" -- "cognition"
"matching" -- "market design"
"photophysics" -- "ultrafast spectroscopy"
"photophysics" -- "photochemistry"
"physics education research" -- "science education"
"celestial mechanics" -- "astrodynamics"
"compressed sensing" -- "signal processing"
"movement disorders" -- "dystonia"
"movement disorders" -- "deep brain stimulation"
"movement disorders" -- "neurogenetics"
"movement disorders" -- "neurology"
"movement disorders" -- "parkinson s disease"
"memory consolidation" -- "sleep"
"fabrication" -- "characterization"
"coastal engineering" -- "sediment transport"
"coastal engineering" -- "tsunami"
