"geomicrobiology" -- "biogeochemistry"
"formación del profesorado" -- "educación"
"microbial fuel cell" -- "bioelectrochemistry"
"microbial fuel cell" -- "bioelectrochemical systems"
"health insurance" -- "health economics"
"neuroimmunology" -- "microglia"
"neuroimmunology" -- "multiple sclerosis"
"neuroimmunology" -- "autoimmunity"
"fluid-structure interaction" -- "computational fluid dynamics"
"system security" -- "web security"
"drylands" -- "geomorphology"
"environmental risk assessment" -- "ecotoxicology"
"mesh generation" -- "computational geometry"
"organizational change" -- "leadership"
"aquaculture" -- "fish nutrition"
"aquaculture" -- "fisheries"
"aquaculture" -- "fish biology"
"aquaculture" -- "fish physiology"
"interest groups" -- "political parties"
"interest groups" -- "lobbying"
"dementia" -- "caregiving"
"dementia" -- "aging"
"dementia" -- "long-term care"
"dementia" -- "alzheimer s disease"
"dementia" -- "neuropsychology"
"scientific computing" -- "computational finance"
"scientific computing" -- "numerical analysis"
"scientific computing" -- "numerical linear algebra"
"probabilistic programming" -- "artificial intelligence"
"metacognition" -- "memory"
"metacognition" -- "self-regulated learning"
"ferroelectrics" -- "piezoelectric"
"ferroelectrics" -- "multiferroics"
"consumer behavior" -- "judgment"
"consumer behavior" -- "sport marketing"
"consumer behavior" -- "services marketing"
"consumer behavior" -- "marketing"
"consumer behavior" -- "food marketing"
"consumer psychology" -- "advertising"
"moral philosophy" -- "political philosophy"
"structural equation modeling" -- "psychometrics"
"neuromorphic computing" -- "vlsi"
"neuromorphic computing" -- "memristor"
"tracking" -- "localization"
"tracking" -- "navigation"
"tracking" -- "object detection"
"psychology of religion" -- "spirituality"
"library instruction" -- "information literacy"
"structural health monitoring" -- "acoustic emission"
"structural health monitoring" -- "structural dynamics"
"structural health monitoring" -- "wireless sensors"
"structural health monitoring" -- "smart structures"
"structural health monitoring" -- "nondestructive evaluation"
"structural health monitoring" -- "ultrasonics"
"structural health monitoring" -- "system identification"
"geodesy" -- "surveying"
"geodesy" -- "geophysics"
"geodesy" -- "crustal deformation"
"geodesy" -- "gnss"
"geodesy" -- "gps"
"medical geography" -- "gis"
"medical geography" -- "spatial epidemiology"
"academic librarianship" -- "information literacy"
"geocomputation" -- "gis"
"flamingo project" -- "network management"
"cultural evolution" -- "language evolution"
"cultural evolution" -- "human behavioral ecology"
"cultural evolution" -- "social learning"
"biochemistry" -- "cell biology"
"biochemistry" -- "enzymology"
"biochemistry" -- "biophysics"
"biochemistry" -- "protein science"
"health communication" -- "interpersonal communication"
"health communication" -- "narrative persuasion"
"health communication" -- "media effects"
"health communication" -- "persuasion"
"health communication" -- "risk communication"
"ore deposits" -- "mineralogy"
"ore deposits" -- "fluid inclusions"
"multiscale modeling" -- "computational mechanics"
"sensor fusion" -- "navigation"
"water reuse" -- "wastewater treatment"
"additive manufacturing" -- "rapid prototyping"
"additive manufacturing" -- "selective laser melting"
"additive manufacturing" -- "3d printing"
"additive manufacturing" -- "cam"
"recreation" -- "leisure"
"recreation" -- "parks"
"malacology" -- "taxonomy"
"strategic communication" -- "corporate communication"
"strategic communication" -- "public relations"
"alcohol" -- "tobacco"
"alcohol" -- "addiction"
"alcohol" -- "drug"
"private law" -- "law"
"hadron physics" -- "nuclear physics"
"meteoritics" -- "planetary science"
"web development" -- "software engineering"
"medical robotics" -- "haptics"
"gangs" -- "policing"
"fem" -- "dem"
"neural networks" -- "machine learning"
"solidification" -- "welding"
"solidification" -- "casting"
"graph theory" -- "algorithms"
"graph theory" -- "combinatorics"
"graph theory" -- "discrete mathematics"
"graph theory" -- "linear algebra"
"bayesian statistics" -- "monte carlo methods"
"bayesian statistics" -- "mcmc"
"bayesian statistics" -- "spatial statistics"
"bayesian statistics" -- "variable selection"
"bayesian statistics" -- "computational statistics"
"sex differences" -- "stress"
"computational linguistics" -- "natural language processing"
"computational linguistics" -- "corpus linguistics"
"computational linguistics" -- "distributional semantics"
"computational linguistics" -- "computational semantics"
"birth outcomes" -- "pregnancy"
"delinquency" -- "juvenile justice"
"delinquency" -- "crime"
"public opinion" -- "american politics"
"public opinion" -- "political participation"
"public opinion" -- "political behaviour"
"automated planning" -- "artificial intelligence"
"atom optics" -- "quantum optics"
"historical ecology" -- "archaeology"
"mobile systems" -- "wireless networks"
"synthesis" -- "verification"
"synthesis" -- "characterization"
"corrosion" -- "electrochemistry"
"corrosion" -- "coatings"
"health physics" -- "medical physics"
"neurogenesis" -- "epilepsy"
"publicidad" -- "periodismo"
"islet biology" -- "diabetes"
"cell cycle" -- "dna replication"
"cell cycle" -- "mitosis"
"urban regeneration" -- "urban planning"
"epilepsy" -- "eeg"
"epilepsy" -- "child neurology"
"quantum technologies" -- "quantum optics"
"devices" -- "semiconductor physics"
"devices" -- "optoelectronic materials"
"population health" -- "social epidemiology"
"fracture" -- "damage"
"fracture" -- "adhesion"
"fracture" -- "fatigue"
